name,location,rating,specialties,insurance,treatments,image,description,distance,accepting,visiting_hours,phone,website,email,emergency_services,parking_accessibility,patient_review,departments,additional_ratings,additional_services
UC San Diego Medical Center – Hillcrest,"San Diego, CA",3.1,"Trauma, Burn Care, Cardiology, Neurology, Surgery, ICU, Pulmonology, OBGYN, GI","Anthem, Blue Shield, Aetna, Cigna, Medicare, Medi-Cal, TRICARE, Most major plans","Emergency care, Surgery, Burn Treatment, Critical Care, Outpatient services, Transplant, Oncology",https://unsplash.com/photos/sample1,390-bed academic medical center offering specialty care and Level I trauma services. Teaching hospital for UCSD School of Medicine.,3.0,Yes,8 a.m. – 8 p.m. daily,(858) 657-7000,https://health.ucsd.edu/locations/Pages/hillcrest.aspx,,"24/7 Emergency Room, Level I Trauma Center","On-site garage, valet service, wheelchair accessible",Quick responses to medical needs in the ER – Anonymous,"Emergency, Surgery, Burn Unit, Cardiology, Neurology, Oncology, ICU","CMS 5-star; Healthgrades: America's 100/250 Best","24/7 ER, Level I Trauma, Transplant, Surgery, Oncology"
Jacobs Medical Center at UC San Diego Health,"La Jolla, CA",4.0,"Oncology, Transplant, Cardiology, Neurology, Cancer Care, Advanced Surgery, Maternity, NICU","Anthem, Blue Shield, Aetna, Cigna, Medicare, Medi-Cal, TRICARE, Most major plans","Specialized surgeries, Robotic surgery, Transplant, Cancer treatment, NICU, Maternity",https://unsplash.com/photos/sample2,"364-bed hospital with pavilions for advanced surgery, cancer care, and women & infants.",13.0,Yes,8 a.m. – 8 p.m. daily,(858) 657-7000,https://health.ucsd.edu/locations/Pages/jacobs.aspx,,"24/7 Emergency Department, Level II Trauma","Parking structure, valet, ADA accessible",The hospital environment felt like a hotel – Google review,"Emergency, Surgery, Cancer Center, NICU, Cardiovascular, ICU","UCSD Health system awards (shared)","24/7 ER, Robotic Surgery, NICU, Maternity"
Scripps Memorial Hospital La Jolla,"La Jolla, CA",4.1,"Cardiology, Orthopedics, Oncology, Maternity, GI, Endocrinology, OBGYN","Anthem, Blue Shield, Aetna, Cigna, Medicare, Medi-Cal, TRICARE, UHC","Cardiac Surgery, Orthopedic Surgery, Cancer Therapy, Labor & Delivery, Rehab",https://unsplash.com/photos/sample3,"432-bed not-for-profit hospital with nationally ranked specialties, in service since 1924.",12.0,Yes,8 a.m. – 8:30 p.m.,(858) 626-4123,https://www.scripps.org/locations/hospitals__scripps-memorial-hospital-la-jolla,,"24/7 Emergency Room, Level II Trauma Center","Garage with valet, wheelchair accessible",Staff was professional and caring – Anonymous review,"Emergency, Cardiology, Orthopedics, Oncology, Maternity, ICU","CMS 5-star; Healthgrades: Outstanding Patient Experience","24/7 ER, Cardiac, Oncology, Rehab, Labor & Delivery"
Rady Children's Hospital – San Diego,"San Diego, CA",3.8,"Pediatrics, NICU, Pediatric Oncology, Trauma, Pediatric Heart, Ortho, Neuro, Endocrine, Urology","Aetna, Anthem, Blue Shield, Cigna, Medi-Cal, TriCare, Most major pediatric plans","Pediatric Emergency Care, NICU, Pediatric Surgery, Oncology",https://unsplash.com/photos/sample4,505-bed pediatric hospital ranked among the nation's best. Only Level I pediatric trauma center in the region.,7.0,Yes,9 a.m. – 9 p.m. (siblings 8 a.m. – 9 p.m.),(858) 576-1700,https://www.rchsd.org,refsvc@rchsd.org,"24/7 Pediatric ER, Level I Pediatric Trauma Center","Garage, family zones, ADA accessible",Staff were amazing and compassionate – Elliot H.,"Pediatrics, NICU, Trauma, Oncology, Surgery, Cardiology","USN Honor Roll; Top 10 Pediatric in multiple fields","24/7 Pediatric ER, Level I Pediatric Trauma, NICU"
Scripps Mercy Hospital San Diego (Hillcrest),"San Diego, CA",3.2,"General Medicine, Emergency, NICU, Trauma, Rehabilitation, Urology, Stroke, COPD, Maternity","Most major insurers (HMOs, PPOs, Medicare, Medi-Cal), Aetna, Anthem, Blue Shield, Cigna, UHC","Emergency Trauma Care, Rehab, Surgery, Maternity, Robotic Surgery",https://unsplash.com/photos/sample5,517-bed Catholic community hospital offering Level I trauma care and maternity services.,2.5,Yes,8 a.m. – 8:30 p.m. daily,(619) 294-8111,https://www.scripps.org/locations/hospitals/scripps-mercy-hospital-san-diego,,"24/7 ER, Level I Trauma","Garage, valet, accessible entrances",Nurses were calming and attentive – Yelp review,"Emergency, Surgery, NICU, Maternity, Rehab","USNWR: Recognized for Urology, Heart, Stroke","24/7 ER, Level I Trauma, Robotic Surgery, Rehab"
Sharp Chula Vista Medical Center,"Chula Vista, CA",4.0,"General Medicine, Heart, Orthopedics, Maternity, NICU, Stroke, Cardiac, Women's Health","Most major insurance, Medicare, Medi-Cal, TRICARE, Sharp Health Plan","Cardiac Care, Spine Surgery, Maternity, Critical Care, Surgery, ICU, Rehab, Behavioral Health",https://unsplash.com/photos/sample6,343-bed hospital in South Bay with a modern patient tower and specialized care.,9.0,Yes,8 a.m. – 8 p.m.; ICU 8:30 a.m. – 8:30 p.m.,(619) 502-5800,https://www.sharp.com/hospitals/Pages/sharp-chula-vista-medical-center.aspx,,"24/7 Emergency Department, Level III Trauma","Garage, valet, ADA accessible",Staff were compassionate and efficient – Yelp review,"Emergency, Heart Institute, Surgery, ICU, Maternity",,"24/7 ER, Surgery, ICU, Rehab, Behavioral Health"
Sharp Grossmont Hospital,"La Mesa, CA",2.9,"General Medicine, Stroke, Orthopedics, Behavioral Health, NICU, Neuro, Women's, Cancer","Most major insurance, Medicare, Medi-Cal, TRICARE, Sharp Health Plan","Stroke Care, Robotic Surgery, Women's Health, Surgery, Rehab, Behavioral Health",https://unsplash.com/photos/sample7,"524-bed East County hospital with stroke, behavioral, and trauma services.",11.0,Yes,8 a.m. – 8 p.m.; support 24/7,(619) 740-6000,https://www.sharp.com/hospitals/Pages/sharp-grossmont-hospital.aspx,,"24/7 ER, Level II Trauma","Garage, shuttle, ADA accessible",Nurses were amazing during delivery – Anonymous review,"Emergency, Stroke, Surgery, Women's Center, ICU",,"24/7 ER, Surgery, Rehab, Behavioral Health"
Paradise Valley Hospital,"National City, CA",3.1,"Behavioral Health, Bariatric Surgery, Emergency, Stroke, Cardiac","Most major plans, Medicare, Medi-Cal, Aetna, Blue Shield, Health Net, Molina, UHC","Emergency, Bariatric, Behavioral Inpatient, Rehab, Stroke Center, Cath Lab, Surgery",https://unsplash.com/photos/sample8,291-bed community hospital with behavioral and bariatric programs.,8.0,Yes,11 a.m. – 8 p.m.; ICU 8:30 a.m. – 8:30 p.m.,(619) 470-4321,https://paradisevalleyhospital.org,,24/7 Emergency Department,"Free lots, accessible facilities","Care was excellent, especially post-surgery – Maria G.","Emergency, Behavioral Health, Bariatric, Surgery, Imaging","Healthgrades Patient Safety Excellence 2025","24/7 ER, Stroke Center, Cath Lab, Surgery"
Sharp Mary Birch Hospital for Women & Newborns,"San Diego, CA",4.4,"Women's Health, Maternity, NICU, High-Risk OB, Surgery","Most major insurance, Medicare, Medi-Cal, Sharp Health Plan","Childbirth, High-Risk OB, NICU, Gynecologic Surgery, Labor/Delivery, Postpartum",https://unsplash.com/photos/sample9,206-bed specialty hospital for women's and newborn care. Among CA's busiest maternity centers.,6.0,Yes,Support 24/7; others 8 a.m. – 8 p.m.,(858) 939-3400,https://www.sharp.com/hospitals/Pages/sharp-mary-birch-hospital.aspx,,OB Emergency Unit only (general ER at Sharp Memorial),"Shared garage, valet, maternity drop-off",Best experience delivering our baby – Jessica M.,"Labor & Delivery, NICU, OB Emergency, Postpartum, Surgery",,"24/7 Labor/Delivery, NICU, Postpartum"
Naval Medical Center San Diego (Balboa),"San Diego, CA",3.2,"Military Medicine, Pediatrics, Cardiology, Surgery, OB","TRICARE (military coverage only)","Surgery, Emergency, Trauma, Specialty Clinics",https://unsplash.com/photos/sample10,"272-bed military hospital serving active duty, retirees, and dependents. Level II trauma care.",2.0,Yes (military only),9 a.m. – 9 p.m.,(619) 532-6400,https://www.med.navy.mil/sites/nmcsd/,,24/7 Emergency Department,"Base lots, shuttle, military ID required",Staff go above and beyond – A.C.,"Emergency, Surgery, Pediatrics, Cardiology, OB/GYN, Mental Health",,"24/7 ER, Surgery, Trauma, Clinics"
