_id,Year,County,Hospital,OSHPDID,system,Type of Report,Performance Measure,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings,Latitude,Longitude
1,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,PCI,,,,"",37.76266,-122.253
2,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Ischemic,3,102,6.1,As Expected,37.76266,-122.253
3,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Pancreatic Resection,,,,"",37.76266,-122.253
4,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Subarachnoid,,,,"",37.76266,-122.253
5,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Carotid Endarterectomy,0,3,0,As Expected,37.76266,-122.253
6,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Pneumonia,5,98,6.1,As Expected,37.76266,-122.253
7,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Heart Failure,5,137,3.4,As Expected,37.76266,-122.253
8,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,GI Hemorrhage,0,85,0,As Expected,37.76266,-122.253
9,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke,5,107,11.6,As Expected,37.76266,-122.253
10,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Hemorrhagic,2,5,29.3,As Expected,37.76266,-122.253
11,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,AMI,0,10,0,As Expected,37.76266,-122.253
12,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Hip Fracture,0,31,0,As Expected,37.76266,-122.253
13,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,AMI,1,26,2.3,As Expected,37.85645,-122.257
14,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,PCI,,,,"",37.85645,-122.257
15,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,GI Hemorrhage,3,206,1.4,As Expected,37.85645,-122.257
16,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke,14,213,5.8,Better,37.85645,-122.257
17,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Ischemic,1,115,1.1,As Expected,37.85645,-122.257
18,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Pancreatic Resection,,,,"",37.85645,-122.257
19,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Heart Failure,12,306,3.3,As Expected,37.85645,-122.257
20,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Hemorrhagic,13,95,16.2,As Expected,37.85645,-122.257
21,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Carotid Endarterectomy,,,,"",37.85645,-122.257
22,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Subarachnoid,0,3,0,As Expected,37.85645,-122.257
23,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Pneumonia,5,82,4.6,As Expected,37.85645,-122.257
24,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Hip Fracture,2,89,2.7,As Expected,37.85645,-122.257
25,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Carotid Endarterectomy,0,4,0,As Expected,37.79925,-122.231
26,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Hemorrhagic,9,40,21.5,As Expected,37.79925,-122.231
27,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,GI Hemorrhage,5,148,3.2,As Expected,37.79925,-122.231
28,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,AMI,13,154,9.5,As Expected,37.79925,-122.231
29,2017,Alameda,Highland Hospital,106010846,Alameda Health System,Elective PCI,Elective PCI Emergency CABG,0,0,0,As Expected,37.79925,-122.23138
30,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Pancreatic Resection,0,6,0,As Expected,37.79925,-122.231
31,2017,Alameda,Highland Hospital,106010846,Alameda Health System,Elective PCI,Elective PCI Mortality,0,0,0,As Expected,37.79925,-122.23138
32,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Ischemic,2,75,4.9,As Expected,37.79925,-122.231
33,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Pneumonia,1,99,2.1,As Expected,37.79925,-122.231
34,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Heart Failure,4,379,1.5,As Expected,37.79925,-122.231
35,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke,13,118,10,As Expected,37.79925,-122.231
36,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,PCI,4,138,2.8,As Expected,37.79925,-122.231
37,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Hip Fracture,0,45,0,As Expected,37.79925,-122.231
38,2017,Alameda,Highland Hospital,106010846,Alameda Health System,Elective PCI,Elective PCI Stroke,0,0,0,As Expected,37.79925,-122.23138
39,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Subarachnoid,2,3,54.3,As Expected,37.79925,-122.231
40,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Acute Stroke Ischemic,4,309,1.1,Better,37.82106,-122.262
41,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Hip Fracture,2,95,1.8,As Expected,37.82106,-122.262
42,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Pancreatic Resection,0,8,0,As Expected,37.82106,-122.262
43,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,PCI,9,349,3.3,As Expected,37.82106,-122.262
44,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,CABG,Isolated CABG Operative Mor,2,144,1.65,As Expected,37.82,-122.26
45,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Pneumonia,4,109,2.8,As Expected,37.82106,-122.262
46,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Heart Failure,27,675,2.9,As Expected,37.82106,-122.262
47,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,GI Hemorrhage,9,341,2.6,As Expected,37.82106,-122.262
48,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Acute Stroke Hemorrhagic,4,15,21.4,As Expected,37.82106,-122.262
49,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Acute Stroke Subarachnoid,,,,"",37.82106,-122.262
50,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,AMI,25,451,5.7,As Expected,37.82106,-122.262
51,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Carotid Endarterectomy,1,14,12.6,As Expected,37.82106,-122.262
52,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Acute Stroke,8,325,3.3,Better,37.82106,-122.262
53,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Acute Stroke,3,67,5.9,As Expected,37.63291,-122.089
54,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,PCI,8,173,7.4,As Expected,37.63291,-122.089
55,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Pancreatic Resection,,,,"",37.63291,-122.089
56,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Acute Stroke Hemorrhagic,1,3,14.8,As Expected,37.63291,-122.089
57,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Pneumonia,4,147,3.2,As Expected,37.63291,-122.089
58,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Carotid Endarterectomy,,,,"",37.63291,-122.089
59,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Hip Fracture,1,26,3.8,As Expected,37.63291,-122.089
60,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,GI Hemorrhage,1,114,1.2,As Expected,37.63291,-122.089
61,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Acute Stroke Subarachnoid,,,,"",37.63291,-122.089
