Hospital,Type of Report,Performance Measure,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings,Latitude,Longitude
Alvarado Hospital Medical Center,CABG,Isolated CABG Operative Mor,0.0,20.0,0.0,As Expected,32.78,-117.06
Alvarado Hospital Medical Center,IMI,Hip Fracture,2.0,22.0,4.2,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Pneumonia,0.0,57.0,0.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Pancreatic Resection,,,,,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,PCI,9.0,127.0,4.7,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Heart Failure,3.0,206.0,1.8,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,GI Hemorrhage,5.0,99.0,3.1,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Carotid Endarterectomy,0.0,10.0,0.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Acute Stroke Subarachnoid,,,,,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Acute Stroke Ischemic,1.0,69.0,2.5,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Acute Stroke Hemorrhagic,3.0,15.0,13.4,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Acute Stroke,4.0,85.0,5.3,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,AMI,11.0,134.0,6.0,As Expected,32.77664,-117.057
Sharp Coronado Hospital and Healthcare Center,IMI,Hip Fracture,0.0,39.0,0.0,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Acute Stroke Subarachnoid,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Pneumonia,0.0,58.0,0.0,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Pancreatic Resection,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,PCI,,,,,32.69427,-117.168
