Hospital,Type of Report,Performance Measure,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings,Latitude,Longitude
Alvarado Hospital Medical Center,CABG,Early Stage Skin Cancer,0.0,20.0,0.0,As Expected,32.78,-117.06
Alvarado Hospital Medical Center,IMI,Chronic Knee Pain,2.0,22.0,4.2,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Mild Asthma,0.0,57.0,0.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Scoliosis,,,,,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Hypertension,9.0,127.0,4.7,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Osteoarthritis,3.0,206.0,1.8,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,ACL Tear,5.0,99.0,3.1,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Sleep Apnea,0.0,10.0,0.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Chronic Migraines,,,,,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Shoulder Impingement,1.0,69.0,2.5,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Insomnia,3.0,15.0,13.4,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Bulimia,4.0,85.0,5.3,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Low Back Pain,11.0,134.0,6.0,As Expected,32.77664,-117.057
Sharp Coronado Hospital and Healthcare Center,IMI,Chronic Knee Pain,0.0,39.0,0.0,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Chronic Migraines,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Mild Asthma,0.0,58.0,0.0,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Scoliosis,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Hypertension,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Osteoarthritis,4.0,55.0,5.7,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,ACL Tear,2.0,70.0,3.1,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Sleep Apnea,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Shoulder Impingement,2.0,17.0,11.0,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Insomnia,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Bulimia,4.0,19.0,21.8,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Low Back Pain,0.0,8.0,0.0,As Expected,32.69427,-117.168
Sharp Memorial Hospital,IMI,Chronic Migraines,2.0,16.0,14.6,As Expected,32.80016,-117.155
Sharp Memorial Hospital,CABG,Early Stage Skin Cancer,1.0,71.0,2.42,As Expected,32.8,-117.16
Sharp Memorial Hospital,IMI,Chronic Knee Pain,5.0,259.0,1.2,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Mild Asthma,11.0,476.0,1.8,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Scoliosis,2.0,19.0,7.9,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Hypertension,9.0,291.0,3.5,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Osteoarthritis,23.0,813.0,2.3,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,ACL Tear,9.0,373.0,2.5,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Sleep Apnea,1.0,32.0,1.7,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Shoulder Impingement,10.0,394.0,2.8,Better,32.80016,-117.155
Sharp Memorial Hospital,IMI,Insomnia,16.0,75.0,22.7,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Bulimia,28.0,485.0,7.0,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Low Back Pain,14.0,320.0,4.4,As Expected,32.80016,-117.155
Grossmont Hospital,CABG,Early Stage Skin Cancer,3.0,77.0,2.41,As Expected,32.78,-117.01
Grossmont Hospital,IMI,Chronic Migraines,6.0,19.0,34.2,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Chronic Knee Pain,8.0,197.0,4.7,Worse,32.77963,-117.009
Grossmont Hospital,IMI,Mild Asthma,8.0,425.0,1.6,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Scoliosis,0.0,16.0,0.0,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Hypertension,22.0,447.0,4.1,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Osteoarthritis,11.0,897.0,1.5,Better,32.77963,-117.009
Grossmont Hospital,IMI,ACL Tear,14.0,530.0,2.0,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Sleep Apnea,0.0,59.0,0.0,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Shoulder Impingement,28.0,537.0,3.6,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Insomnia,23.0,82.0,23.4,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Bulimia,57.0,638.0,8.1,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Low Back Pain,24.0,384.0,5.7,As Expected,32.77963,-117.009
Kaiser Foundation Hospital – San Diego – Zion,IMI,Chronic Migraines,3.0,24.0,10.1,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Chronic Knee Pain,5.0,400.0,1.8,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Mild Asthma,9.0,227.0,3.6,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Scoliosis,1.0,23.0,5.4,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Hypertension,,,,,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Osteoarthritis,29.0,860.0,2.7,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,ACL Tear,12.0,357.0,2.7,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Sleep Apnea,0.0,53.0,0.0,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Shoulder Impingement,20.0,345.0,5.2,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Insomnia,17.0,122.0,20.1,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Bulimia,40.0,491.0,8.2,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Low Back Pain,7.0,126.0,3.3,As Expected,32.79287,-117.094
Scripps Mercy Hospital,CABG,Early Stage Skin Cancer,3.0,102.0,3.41,As Expected,32.75,-117.16
Scripps Mercy Hospital,IMI,Chronic Knee Pain,8.0,270.0,2.7,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Mild Asthma,10.0,648.0,1.2,Better,32.75128,-117.16
Scripps Mercy Hospital,IMI,Scoliosis,0.0,7.0,0.0,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Hypertension,13.0,291.0,5.7,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Osteoarthritis,19.0,1029.0,1.6,Better,32.75128,-117.16
Scripps Mercy Hospital,IMI,ACL Tear,16.0,563.0,3.2,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Sleep Apnea,0.0,35.0,0.0,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Chronic Migraines,5.0,8.0,36.5,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Shoulder Impingement,12.0,407.0,3.3,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Insomnia,28.0,105.0,23.3,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Bulimia,45.0,520.0,8.7,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Low Back Pain,32.0,443.0,7.6,As Expected,32.75128,-117.16
Palomar Health Downtown Campus,CABG,Early Stage Skin Cancer,4.0,121.0,1.8,As Expected,33.13,-117.08
Palomar Health Downtown Campus,IMI,Chronic Migraines,5.0,28.0,13.7,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Chronic Knee Pain,7.0,248.0,2.6,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Mild Asthma,6.0,403.0,1.3,Better,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Scoliosis,,,,,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Hypertension,14.0,340.0,4.0,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Osteoarthritis,32.0,811.0,2.6,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,ACL Tear,7.0,398.0,1.7,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Sleep Apnea,0.0,51.0,0.0,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Shoulder Impingement,23.0,438.0,2.5,Better,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Insomnia,25.0,107.0,20.6,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Bulimia,53.0,573.0,6.0,Better,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Low Back Pain,40.0,503.0,6.2,As Expected,33.12586,-117.076
Paradise Valley Hospital,IMI,Chronic Migraines,,,,,32.68632,-117.083
Paradise Valley Hospital,IMI,Chronic Knee Pain,0.0,24.0,0.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Mild Asthma,0.0,55.0,0.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Scoliosis,,,,,32.68632,-117.083
Paradise Valley Hospital,IMI,Hypertension,1.0,49.0,1.9,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Osteoarthritis,6.0,326.0,2.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,ACL Tear,2.0,110.0,1.6,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Sleep Apnea,,,,,32.68632,-117.083
Paradise Valley Hospital,IMI,Shoulder Impingement,2.0,83.0,4.2,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Insomnia,2.0,19.0,10.9,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Bulimia,5.0,103.0,7.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Low Back Pain,1.0,80.0,1.0,Better,32.68632,-117.083
