_id,Year,County,Hospital,OSHPDID,system,Type of Report,Performance Measure,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings,Latitude,Longitude
2826,2017,San Diego,Alvarado Hospital Medical Center,106370652,Prime Healthcare Services,CABG,Isolated CABG Operative Mor,0.0,20.0,0.0,As Expected,32.78,-117.06
2827,2017,San Diego,Alvarado Hospital Medical Center,106370652,Prime Healthcare Services,IMI,Hip Fracture,2.0,22.0,4.2,As Expected,32.77664,-117.057
2828,2017,San Diego,Alvarado Hospital Medical Center,106370652,Prime Healthcare Services,IMI,Pneumonia,0.0,57.0,0.0,As Expected,32.77664,-117.057
2829,2017,San Diego,Alvarado Hospital Medical Center,106370652,Prime Healthcare Services,IMI,Pancreatic Resection,,,,,32.77664,-117.057
2830,2017,San Diego,Alvarado Hospital Medical Center,106370652,Prime Healthcare Services,IMI,PCI,9.0,127.0,4.7,As Expected,32.77664,-117.057
2831,2017,San Diego,Alvarado Hospital Medical Center,106370652,Prime Healthcare Services,IMI,Heart Failure,3.0,206.0,1.8,As Expected,32.77664,-117.057
2832,2017,San Diego,Alvarado Hospital Medical Center,106370652,Prime Healthcare Services,IMI,GI Hemorrhage,5.0,99.0,3.1,As Expected,32.77664,-117.057
2833,2017,San Diego,Alvarado Hospital Medical Center,106370652,Prime Healthcare Services,IMI,Carotid Endarterectomy,0.0,10.0,0.0,As Expected,32.77664,-117.057
2834,2017,San Diego,Alvarado Hospital Medical Center,106370652,Prime Healthcare Services,IMI,Acute Stroke Subarachnoid,,,,,32.77664,-117.057
2835,2017,San Diego,Alvarado Hospital Medical Center,106370652,Prime Healthcare Services,IMI,Acute Stroke Ischemic,1.0,69.0,2.5,As Expected,32.77664,-117.057
2836,2017,San Diego,Alvarado Hospital Medical Center,106370652,Prime Healthcare Services,IMI,Acute Stroke Hemorrhagic,3.0,15.0,13.4,As Expected,32.77664,-117.057
2837,2017,San Diego,Alvarado Hospital Medical Center,106370652,Prime Healthcare Services,IMI,Acute Stroke,4.0,85.0,5.3,As Expected,32.77664,-117.057
2838,2017,San Diego,Alvarado Hospital Medical Center,106370652,Prime Healthcare Services,IMI,AMI,11.0,134.0,6.0,As Expected,32.77664,-117.057
2839,2017,San Diego,Sharp Coronado Hospital and Healthcare Center,106370689,Sharp Healthcare,IMI,Hip Fracture,0.0,39.0,0.0,As Expected,32.69427,-117.168
2840,2017,San Diego,Sharp Coronado Hospital and Healthcare Center,106370689,Sharp Healthcare,IMI,Acute Stroke Subarachnoid,,,,,32.69427,-117.168
2841,2017,San Diego,Sharp Coronado Hospital and Healthcare Center,106370689,Sharp Healthcare,IMI,Pneumonia,0.0,58.0,0.0,As Expected,32.69427,-117.168
2842,2017,San Diego,Sharp Coronado Hospital and Healthcare Center,106370689,Sharp Healthcare,IMI,Pancreatic Resection,,,,,32.69427,-117.168
2843,2017,San Diego,Sharp Coronado Hospital and Healthcare Center,106370689,Sharp Healthcare,IMI,PCI,,,,,32.69427,-117.168
2844,2017,San Diego,Sharp Coronado Hospital and Healthcare Center,106370689,Sharp Healthcare,IMI,Heart Failure,4.0,55.0,5.7,As Expected,32.69427,-117.168
2845,2017,San Diego,Sharp Coronado Hospital and Healthcare Center,106370689,Sharp Healthcare,IMI,GI Hemorrhage,2.0,70.0,3.1,As Expected,32.69427,-117.168
2846,2017,San Diego,Sharp Coronado Hospital and Healthcare Center,106370689,Sharp Healthcare,IMI,Carotid Endarterectomy,,,,,32.69427,-117.168
