position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCaqjm6hzPoghQqQxK0lo3ow,"Houston Methodist",-m-a4bUSWOI,2025-05-06T14:01:33Z,"2025-05-06 14:01:33","Building a Robotic Living Donor Liver Transplant Program | Houston Methodist","Yee Lee Cheah, MD, FACS, and Caroline Simon, MD, discuss training hepatobiliary surgeons to complete living donor liver transplants using a robotic approach to build the Robotic Living Donor Liver Transplant Program at the Houston Methodist J.C. Walter Jr. Transplant Center.","Caroline Simon,Houston Methodist,Houston Methodist Hospital,Texas Medical Center,Yee Lee Cheah,hepatobiliary surgeon,liver transplant,living donor,robotic living donor liver transplant,robotic surgery,transplant",27,Education,"Health,Knowledge",PT6M10S,370,2d,hd,true,,,https://i.ytimg.com/vi/-m-a4bUSWOI/maxresdefault.jpg,,,,,2,0,,0,0
2,UCaqjm6hzPoghQqQxK0lo3ow,"Houston Methodist",dS1N_2nfMxY,2025-05-05T21:04:52Z,"2025-05-05 21:04:52","Tips to protect your hearing from an audiologist. #audiology #hearing #hearingloss #ent",,,27,Education,Health,PT56S,56,2d,hd,false,en,en,https://i.ytimg.com/vi/dS1N_2nfMxY/maxresdefault.jpg,,,,,35,,,0,0
3,UCaqjm6hzPoghQqQxK0lo3ow,"Houston Methodist",r3pjgxp8cbg,2025-05-04T06:00:43Z,"2025-05-04 06:00:43","Providing Compassionate Care in the ICU | Quality Time with Dr. Schaal","In this episode, Dr. Faisal Masud shares how Houston Methodist uses innovative technology and a broad-based compassionate care team to provide world-class ICU care. Expert: Faisal Masud, M.D., professor of clinical anesthesiology and critical care of the Academic Institute, medical director of the Center for Critical Care, Mary A. and M. Samuel Daffin, Sr. Centennial Chair in Anesthesia and Critical Care, Houston Methodist Weill Cornell Medical College Notable topics covered: - Lowering mortality rates for critical care patients - Practicing compassionate care in the ICU - Building a non-traditional team of compassionate care providers - Improving the patient experience through virtual ICU care","Houston Methodist Hospital,healthcare,public health",27,Education,"Health,Knowledge",PT38M3S,2283,2d,hd,false,en,en,https://i.ytimg.com/vi/r3pjgxp8cbg/maxresdefault.jpg,,,,,14,1,,0,0
4,UCaqjm6hzPoghQqQxK0lo3ow,"Houston Methodist",T4FquXxtT1U,2025-05-04T05:00:32Z,"2025-05-04 05:00:32","Leveraging Press Ganey Data to Improve The Health Care Experience | Quality Time with Dr. Schaal","In this episode, Dr. Jessica Dudley explains how Press Ganey uses its substantial collection of workplace and patient survey data to help health care organizations improve physician engagement and wellbeing — which leads to better patient outcomes. Expert: Dr. Jessica Dudley, chief clinical officer at Press Ganey Notable topics covered: - Using survey data to improve the workforce and patient experience - Creating a sense of organizational belonging and engagement - Correlating engagement to patient experience and outcomes - Acting on generational and gender shifts in medicine","Houston Methodist Hospital,healthcare,public health",27,Education,"Health,Knowledge",PT39M40S,2380,2d,hd,false,en,en,https://i.ytimg.com/vi/T4FquXxtT1U/maxresdefault.jpg,,,,,33,0,,0,0
5,UCaqjm6hzPoghQqQxK0lo3ow,"Houston Methodist",kdfBBF1AK5o,2025-05-03T06:00:37Z,"2025-05-03 06:00:37","Standardizing Surgical Care to Improve Outcomes | Quality Time with Dr. Schaal","Preventing infection and enhancing recovery are metrics for surgical quality of care. In this episode, Dr. Pedro Ramirez discusses efforts to standardize patient care, including implementing surgical site infection bundles and Enhanced Recovery After Surgery (ERAS) initiatives before, during and after surgery to improve and improve patient outcomes. Expert: Dr. Pedro Ramirez, chairman of the Department of Obstetrics and Gynecology at Houston Methodist Hospital and the Alan L. Kaplan Chair in Obstetrics & Gynecology Notable topics covered: - The use of surgical site bundles to standardize care and decrease surgical-site infection - The use of Enhanced Recovery After Surgery (ERAS) guidelines preoperatively, intraoperatively and postoperatively to improve outcomes - The findings of the Prospective Randomized Study Evaluating the Surgical - Approach to Patients with Early Cervical Cancer that changed National Comprehensive Cancer Network guidelines","Houston Methodist Hospital,healthcare,public health",27,Education,"Health,Knowledge",PT23M44S,1424,2d,hd,false,en,en,https://i.ytimg.com/vi/kdfBBF1AK5o/maxresdefault.jpg,,,,,23,0,,0,0
6,UCaqjm6hzPoghQqQxK0lo3ow,"Houston Methodist",CjjxFLQM2T8,2025-05-03T05:00:11Z,"2025-05-03 05:00:11","Advancing Quality of Care Through Academic Research | Quality Time with Dr. Schaal","Houston Methodist is one of the nation's leading health systems and academic medical centers. In this wide-ranging episode, Dr. H. Dirk Sostman, Houston Methodist executive vice president and chief academic officer and president and CEO of the Houston Methodist Academic Institute (HMAI), discusses his remarkable 20-year career at Houston Methodist advancing quality of care through academic research and scientific innovation — including leading Houston Methodist through one of the fastest-evolving scientific scenarios in the last 100 years: the COVID-19 pandemic. Expert: H. Dirk Sostman, executive vice president and chief academic officer at Houston Methodist, Ernest Cockrell Jr. Presidential Distinguished Chair and president and CEO of the Houston Methodist Academic Institute (HMAI). Notable topics covered: - Academic medicine - Quality research - Genomic data - Artificial intelligence and diagnostic accuracy - COVID-19 and scientific evolution","Houston Methodist Hospital,healthcare,public health",27,Education,"Health,Knowledge",PT29M27S,1767,2d,hd,false,en,en,https://i.ytimg.com/vi/CjjxFLQM2T8/maxresdefault.jpg,,,,,42,0,,0,0
7,UCaqjm6hzPoghQqQxK0lo3ow,"Houston Methodist",0uRlAsFcofM,2025-05-02T16:00:19Z,"2025-05-02 16:00:19","Are Menstrual Cups Safe?","Menstrual cups can be worn just like pads and tampons. It's really just a personal preference.","menstrual cup,menstrual cups,menstrual cycles,menstruation,pad alternatives,pads,period,periods,sustainability,tampon alternatives,tampons",27,Education,"Health,Lifestyle_(sociology)",PT15S,15,2d,hd,false,,,https://i.ytimg.com/vi/0uRlAsFcofM/maxresdefault.jpg,,,,,43,1,,0,0
8,UCaqjm6hzPoghQqQxK0lo3ow,"Houston Methodist",stoVxabrSek,2025-05-01T19:00:49Z,"2025-05-01 19:00:49","Ask An OB-GYN: Common Questions About Menstruation| Houston Methodist","Dr. Lexanne G. Mauney, MD, an OB-GYN with Houston Methodist, explores questions about menstruation, commonly known as a period. Dr. Mauney answers: 0:00 When does your period start after having a baby? 0:28 Are blood clots during my period normal? 0:39 What is the best way to relieve period cramps? 1:10 Are menstrual cups safe? 1:25 Are period cravings real? 1:37 Are there any red flag period cravings? 1:50 What causes period cravings? 2:05 What is the difference between a period and implantation bleeding? 2:33 The reasons for having a late period","ask a gynecologist,gynecology,health care,menstrual cups,menstrual cycle,menstruation,period,period cravings,periods,women's health,women's health care",27,Education,"Health,Knowledge",PT2M52S,172,2d,hd,true,,,,,,,,26,0,,0,0
9,UCaqjm6hzPoghQqQxK0lo3ow,"Houston Methodist",faVPMkHNGW8,2025-04-28T21:26:03Z,"2025-04-28 21:26:03","Tumor Board | The Unit: Cancer","""Centers that have a tumor board, or multidisciplinary conference to discuss cases, have a better outcome."" Dr. Abu-Shahin, a hematologist-oncologist at Houston Methodist Willowbrook Hospital, discusses how a tumor board leads to more effective treatment.","cancer,cancer care,cancer doctor day in the life,compassion,day in the life,doctor day in the life,health care,health care day in the life,healthcare,hematologist,hematology oncology,oncologist,oncology,patient care,tumor board",27,Education,Health,PT27S,27,2d,hd,false,,,https://i.ytimg.com/vi/faVPMkHNGW8/maxresdefault.jpg,,,,,83,1,,0,0
10,UCaqjm6hzPoghQqQxK0lo3ow,"Houston Methodist",kAwhnSu_5_s,2025-04-27T06:00:36Z,"2025-04-27 06:00:36","Measuring Safety in Health Care with Press Ganey | Quality Time with Dr. Schaal","Health care safety is a public health issue. Despite progress, preventable harm remains unacceptably frequent. In order to reduce harm in all its forms, we need to know what causes it and why. In this episode, Dr. Tejal Gandhi, chief safety and transformation officer at Press Ganey, delves deep into the latest industry insights and offers recommendations for creating safer environments for patients and providers. Expert: Dr. Tejal Gandhi, chief safety and transformation officer at Press Ganey Notable topics covered: - The data vs. the perception of workforce and patient safety - The ""zero-harm"" movement and the broadening definition of harm - The principles of ""just culture"" and ""culture of safety"" - The difference in safety in out-patient vs. in-patient settings","Houston Methodist Hospital,healthcare,public health",27,Education,Health,PT32M34S,1954,2d,hd,false,en,en,https://i.ytimg.com/vi/kAwhnSu_5_s/maxresdefault.jpg,,,,,13,1,,0,1
