position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UC-K3xct70o9oCw2yz8ul6gw,MassGeneralHospital,ywfW8byDQwY,2025-05-05T16:31:15Z,"2025-05-05 16:31:15","Geriatric Medicine Town Hall April 25, 2025","Geriatric Medicine Town Hall April 25, 2025 ""Ensuring Your Wishes: Funeral Pre-Planning"" with John O'Dea and Matt Carty of Bell-O'Dea Funeral Home https://www.massgeneral.org/medicine/palliative-care-and-geriatric-medicine/treatments-and-services/age-positively-clinic#page-anchor-4","Funeral Burial Cremation",28,"Science & Technology","Health,Society",PT57M41S,3461,2d,hd,false,,en,https://i.ytimg.com/vi/ywfW8byDQwY/maxresdefault.jpg,,,,,19,0,,0,0
2,UC-K3xct70o9oCw2yz8ul6gw,MassGeneralHospital,9AwlAoI4Kqs,2025-05-05T15:46:24Z,"2025-05-05 15:46:24","McCance Seminar Series: Edward Calabrese, PhD","Edward Calabrese, PhD, Professor of Toxicology at the University of Massachusetts, School of Public Health and Health Sciences, Amherst, speaks on ""Hormesis: Occurrence, Mechanistic Foundations and Biomedical Applications"" April 28, 2025 Episode of the Mass General McCance Center for Brain Health Seminar Series. https://www.massgeneral.org/neurology/mccance-center","hormesis,dose response,Toxicology,risk assessment,environmental health,brain health",28,"Science & Technology","Health,Knowledge",PT1H3M9S,189,2d,hd,false,,en,https://i.ytimg.com/vi/9AwlAoI4Kqs/maxresdefault.jpg,,,,,29,1,,0,0
3,UC-K3xct70o9oCw2yz8ul6gw,MassGeneralHospital,AaGN221cKa4,2025-05-05T15:44:38Z,"2025-05-05 15:44:38","PREVENT ALL ALS Webinar: April 24, 2025 | Mass General Hospital","Mark Garret, MD of Dartmouth Hitchcock Medical Center, along with Myah Stone of Barrow Neurological Institute, presented information about the ongoing observational study PREVENT ALL ALS. The guest speakers shared ways to connect with the ALL ALS study team, provided updates about progress in biomarker and genetic ALS research, and answered questions from the audience. ALL ALS website: https://www.all-als.org/ Visit the Mass General website to register for future community Q&A webinars: https://www.massgeneral.org/neurology/als/research/platform-trial-news Sign up for the ALS Link to stay up to date about news and research from the Sean M. Healey & AMG Center for ALS: https://lp.constantcontactpages.com/sl/wQfOqgA/ALSLink Follow MGH Neurology on Facebook (https://www.facebook.com/MGHNeurology/) and X (https://x.com/MGHNeurology)",,28,"Science & Technology","Health,Knowledge",PT28M20S,1700,2d,hd,false,,en,https://i.ytimg.com/vi/AaGN221cKa4/maxresdefault.jpg,,,,,31,0,,0,
4,UC-K3xct70o9oCw2yz8ul6gw,MassGeneralHospital,oWgK8oQR3YE,2025-05-05T15:40:10Z,"2025-05-05 15:40:10","Blum Center Program: Heat Waves and Mental Health","In recognition of Earth Day, this talk from April 24, 2025 explores the mental health impacts of extreme heat driven by climate change, including increased stress, anxiety, sleep disruption, and heightened risks for vulnerable populations. James McKowen, PhD, discusses what individuals need to know about the psychological effects of heat and how to recognize warning signs. Practical strategies to build resilience and prepare for extreme heat are also shared.",,28,"Science & Technology","Health,Knowledge",PT57M28S,3448,2d,hd,false,,en,https://i.ytimg.com/vi/oWgK8oQR3YE/maxresdefault.jpg,,,,,14,0,,0,
5,UC-K3xct70o9oCw2yz8ul6gw,MassGeneralHospital,aRgdkrKUiBQ,2025-04-30T16:02:35Z,"2025-04-30 16:02:35","Why They Give Back","Video of volunteers sharing why they give back to Mass General Hospital https://www.massgeneral.org/volunteer",,28,"Science & Technology","Health,Society",PT5M55S,355,2d,hd,false,,en,https://i.ytimg.com/vi/aRgdkrKUiBQ/maxresdefault.jpg,,,,,39,2,,0,0
6,UC-K3xct70o9oCw2yz8ul6gw,MassGeneralHospital,pdkV2SId8kY,2025-04-22T13:35:01Z,"2025-04-22 13:35:01","Blum Center Program: The Real Tea on STIs","Let’s talk about SEXual Health. In this fireside chat from April 14, 2025, members of the MGH Sexual Health Clinic talk about STI Awareness Week, common myths, questions to ask your healthcare provider (Should I go on PrEP? What do I do if I have an STI?), and ways to take charge of your sexual health.",,28,"Science & Technology","Health,Society",PT46M32S,2792,2d,hd,false,,en,https://i.ytimg.com/vi/pdkV2SId8kY/maxresdefault.jpg,,,,,64,1,,0,0
7,UC-K3xct70o9oCw2yz8ul6gw,MassGeneralHospital,oHfXYFDXk40,2025-04-22T13:22:08Z,"2025-04-22 13:22:08","Updates in Transplantation - Virtual Town Hall (Spring 2025)","The Transplant Center at Massachusetts General Hospital hosted a virtual town hall giving participants the opportunity to ask timely and helpful questions around infectious diseases and more. This webinar was hosted by the solid organ transplant directors and infectious disease medical directors. To learn more about transplant at MGH, please visit: https://www.massgeneral.org/transplant",,28,"Science & Technology","Health,Society",PT1H2M36S,156,2d,hd,false,,en,https://i.ytimg.com/vi/oHfXYFDXk40/maxresdefault.jpg,,,,,289,13,,0,2
8,UC-K3xct70o9oCw2yz8ul6gw,MassGeneralHospital,jdG4k8rpwDM,2025-04-22T13:14:26Z,"2025-04-22 13:14:26","ALS MyMatch Informational Webinar: April 10, 2025 | Mass General Hospital","Learn about ALS MyMatch, the program's operational structure, and how you can partner with MyMatch to test new investigational products for ALS. Visit the Sean M. Healey & AMG Center website to learn more: https://www.massgeneral.org/neurology/als/research/als-mymatch",,28,"Science & Technology","Health,Knowledge",PT28M28S,1708,2d,hd,false,,en,https://i.ytimg.com/vi/jdG4k8rpwDM/maxresdefault.jpg,,,,,133,1,,0,
9,UC-K3xct70o9oCw2yz8ul6gw,MassGeneralHospital,OF8pKYkmtDQ,2025-04-22T13:11:00Z,"2025-04-22 13:11:00","HEALEY ALS Platform Trial Webinar: April 10, 2025 | Monthly EAP Update","Sabrina Paganoni, MD, PhD of Massachusetts General Hospital presented an overview of ongoing Expanded Access Protocols (EAPs), provided updates about future plans, and answered questions from the audience. Visit the Mass General website to register for future EAP webinars: https://www.massgeneral.org/neurology/als/research/expanded-access-news Sign up for the ALS Link to stay up to date about news and research from the Sean M. Healey & AMG Center for ALS: https://lp.constantcontactpages.com/sl/wQfOqgA/ALSLink Follow MGH Neurology on Facebook (https://www.facebook.com/MGHNeurology/) and X (https://x.com/MGHNeurology)",,28,"Science & Technology","Health,Knowledge",PT22M59S,1379,2d,hd,false,,en,https://i.ytimg.com/vi/OF8pKYkmtDQ/maxresdefault.jpg,,,,,57,2,,0,
10,UC-K3xct70o9oCw2yz8ul6gw,MassGeneralHospital,RQ17q-iqVDw,2025-04-15T17:50:08Z,"2025-04-15 17:50:08","McCance Seminar Series: Raja Bhattacharya, PhD","Dr. Raja Bhattacharya, Assistant Professor of Neurology, Principal Investigator of Bhattacharya Lab in the Genetics and Aging Research Unit, and an affiliated faculty member of the McCance Center for Brain Health, Massachusetts General Hospital Neurology Department and Harvard Medical School speaks on “Targeting MAM (Mitochondria-Associated ER Membrane) Stability and Endosomal Abnormalities in Neurons to Prevent Early-Stage AD Pathogenesis” at the March 31, 2025 episode of Mass General Hospital McCance Center Faculty Seminar Series. https://www.massgeneral.org/neurology/mccance-center",,28,"Science & Technology","Health,Knowledge",PT59M17S,3557,2d,hd,false,,en,https://i.ytimg.com/vi/RQ17q-iqVDw/maxresdefault.jpg,,,,,85,1,,0,1
