position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCrSSB3ymfBGktEufiIsf9lw,"Montefiore Health System",xDyQpbITOGM,2025-05-07T04:11:43Z,"2025-05-07 04:11:43","Start your morning right with homestyle Blueberry Johnnycakes","Start your morning right with homestyle Blueberry Johnnycakes. Classic, all-American breakfast pancakes that deliver a double dose of fiber and protein. To get the recipe, visit our LoHud article in the link in the comments. #Montefiore #MontefioreEinstein #Food #HealthyFood #EasyRecipeOfTheDay #LoHud #lohud_food","Montefiore,Montefiore Health System,Montefiore Medical Center,Montefiore Hospital,Hospital,Bronx",27,Education,"Food,Lifestyle_(sociology)",PT50S,50,2d,hd,false,,en,https://i.ytimg.com/vi/xDyQpbITOGM/maxresdefault.jpg,,,,,108,1,,0,1
2,UCrSSB3ymfBGktEufiIsf9lw,"Montefiore Health System",WxBt0PEfbhE,2025-05-04T21:00:49Z,"2025-05-04 21:00:49","Congratulations to Montefiore Einstein’s Lilliam Perez, VP of Government and Community Relations","Congratulations to Montefiore Einstein’s Lilliam Perez, Vice President of Government and Community Relations, recognized as one of City and State New York’s Who’s Who in Government Relations! Perez is recognized for her leadership and dedication which has made a positive impact on so many lives. Read more in the comments. #MontefioreEinstein #MontefioreEinsteinGovernmentRelations #WhosWhoInGovernmentRelations #TheBronx #CityandStateNY @CityandStateNY","Montefiore,Montefiore Health System,Montefiore Medical Center,Montefiore Hospital,Hospital,Bronx",27,Education,Health,PT11S,11,2d,hd,false,,en,https://i.ytimg.com/vi/WxBt0PEfbhE/maxresdefault.jpg,,,,,385,2,,0,1
3,UCrSSB3ymfBGktEufiIsf9lw,"Montefiore Health System",w4X372fo4jU,2025-05-03T20:03:22Z,"2025-05-03 20:03:22","A tasty, filling, high-protein dish that's easy to prepare and can be taken to work for lunch","Greek Meatballs with Lemon Pasta Ingredients Meatballs 16 oz ground chicken 1 egg ½ cup low-fat feta cheese, crumbled 1.5 tsp dried oregano 1 tsp onion, garlic, thyme, parsley, powder Pinch pepper 1 tsp olive oil Pasta 1.5 cups cooked short-cut legume pasta (lentils, chickpeas) 1 lemon, zest and juice 2 tablespoons olive oil ½ teaspoon dried oregano ¼ teaspoon dried dill ½ teaspoon garlic powder Preparation 1. In a bowl, mix all the meatball ingredients with your hands. Make 12 meatballs. 2. In a frying pan, heat the oil and cook the meatballs until they are golden and cooked, approximately 8 minutes. 3. In another bowl, add the cooked pasta, along with the rest of the ingredients. Mix everything very well. 4. Divide the pasta into 4 portions and place 3 meatballs on top of each one. Ready to enjoy! Makes 4 servings of 3 meatballs each. Total preparation time is 30 minutes. #MontefioreEinstein #MontefioreEinstein #EasyRecipe #HealthyFood #RecipeOfTheDay","Montefiore,Montefiore Health System,Montefiore Medical Center,Montefiore Hospital,Hospital,Bronx",27,Education,"Food,Lifestyle_(sociology)",PT41S,41,2d,hd,false,,en,https://i.ytimg.com/vi/w4X372fo4jU/maxresdefault.jpg,,,,,238,3,,0,0
4,UCrSSB3ymfBGktEufiIsf9lw,"Montefiore Health System",jn4uiSnWZFI,2025-04-26T03:46:50Z,"2025-04-26 03:46:50","Infertility affects 1 in 6 people—yet too often, it’s hidden behind silence and stigma","Infertility affects 1 in 6 people—yet too often, it’s hidden behind silence and stigma. On Infertility Awareness Day, we stand with everyone on this journey. Whether you're seeking answers, undergoing treatment, or supporting a loved one, know you're not alone. 🧡 Montefiore Einstein OB & GYN and Women's Health, Reproductive Endocrinology & Infertility provides personalized care, support and advanced treatments designed to give you the best chance at building the family you dream of. Join us in bringing compassion and support to the millions navigating infertility as we help raise awareness in a bold, beautiful way. We're here to help. Learn more about our services in the comments. #InfertilityAwarenessDay #WearOrange #IFVAwareness #InfertilityAwareness #MontefioreEinsteinWomensHealth #MontefioreEinsteinOBGYN #NIAW #MontefioreEinstein","Montefiore,Montefiore Health System,Montefiore Medical Center,Montefiore Hospital,Hospital,Bronx",27,Education,Health,PT31S,31,2d,hd,false,,en,https://i.ytimg.com/vi/jn4uiSnWZFI/maxresdefault.jpg,,,,,206,1,,0,1
5,UCrSSB3ymfBGktEufiIsf9lw,"Montefiore Health System",IRE4qUWat2c,2025-04-18T02:38:38Z,"2025-04-18 02:38:38","Montefiore Einstein Launches HAI Pump Program to Target Liver Cancer with Precision Chemotherapy","The Hepatic Artery Infusion (HAI) pump program at Montefiore Einstein Comprehensive Cancer Center has officially launched! This advanced therapy delivers high dose chemotherapy directly to the liver, targeting liver metastasis, mostly from colon and rectal cancers, and intra-hepatic cholangiocarcinoma. Our first two patients had successful pump placement surgeries with our surgical oncology and colorectal surgeons, two weeks ago. They are home and doing well. They have already started treatment with our medical oncology teams. This is world-class care and we’re proud to continue bringing the most advanced treatment options to our patients. #MontefioreEinstein #MontefioreEinsteinComprehensiveCancerCenter #MECCC #HepaticArteryInfusionPump #HAIPump #Cholangiocarcinoma #ColonCancer #LiverCancer","Montefiore,Montefiore Health System,Montefiore Medical Center,Montefiore Hospital,Hospital,Bronx",27,Education,Health,PT16S,16,2d,hd,false,,en,https://i.ytimg.com/vi/IRE4qUWat2c/maxresdefault.jpg,,,,,417,2,,0,0
6,UCrSSB3ymfBGktEufiIsf9lw,"Montefiore Health System",fwubTirXVi0,2025-04-17T04:16:30Z,"2025-04-17 04:16:30","You’ll get wrapped up in these heart-healthy cabbage wraps","You’ll get wrapped up in these heart-healthy cabbage wraps. Ditch the tortillas to create a high-fiber meal rich in vitamins. To get the recipe, visit our LoHud article in the link in the comments. #Montefiore #MontefioreEinstein #Food #HealthyFood #EasyRecipeOfTheday #LoHud #lohudfood","Montefiore,Montefiore Health System,Montefiore Medical Center,Montefiore Hospital,Hospital,Bronx",27,Education,"Food,Lifestyle_(sociology)",PT48S,48,2d,hd,false,,en,https://i.ytimg.com/vi/fwubTirXVi0/maxresdefault.jpg,,,,,225,3,,0,1
7,UCrSSB3ymfBGktEufiIsf9lw,"Montefiore Health System",iWrGzlrh7pg,2025-04-17T04:15:48Z,"2025-04-17 04:15:48","Welcome to the world, Baby Jaythan, born at Montefiore Einstein’s Jack D. Weiler Hospital on April 1","Welcome to the world, Baby Jaythan, born at Montefiore Einstein’s Jack D. Weiler Hospital (Einstein Campus) on April 1, 2025! Our ""spring bunny baby"" and family are doing well. Congratulations to the parents and special thanks to the staff in our Mother Baby Unit for all of their help. #MontefioreEinstein #MontefioreBaby #SpringBunnyBaby #Springtime #WelcomeBabyJaythan","Montefiore,Montefiore Health System,Montefiore Medical Center,Montefiore Hospital,Hospital,Bronx",27,Education,"Health,Lifestyle_(sociology)",PT16S,16,2d,hd,false,,en,https://i.ytimg.com/vi/iWrGzlrh7pg/maxresdefault.jpg,,,,,613,5,,0,0
8,UCrSSB3ymfBGktEufiIsf9lw,"Montefiore Health System",vlhsBtQNrIk,2025-04-14T04:15:12Z,"2025-04-14 04:15:12","Recognizing Early Multiple Sclerosis (MS) Symptoms and Why It’s Important Not to Ignore Them","MS affects the brain and spinal cord, often starting between the ages of 20 and 40. The symptoms can vary, but here are some of the key early signs to watch for: - Vision problems: Blurry vision, eye pain, or trouble seeing colors clearly—often a sign of optic neuritis. - Fatigue: Unexplained exhaustion that doesn’t improve with rest. - Numbness and tingling: Particularly in limbs, this can be a warning sign of nerve damage. - Muscle weakness and stiffness: Difficulty walking or experiencing muscle spasms or tightness. If you notice any of these signs, consult your healthcare provider. Early detection and treatment can help manage symptoms and slow disease progression. #MontefioreEinstein #MultipleSclerosis #MSAwareness #NeuroHealth #EarlyDetection #HealthcareMatters","Montefiore,Montefiore Health System,Montefiore Medical Center,Montefiore Hospital,Hospital,Bronx",27,Education,"Health,Lifestyle_(sociology)",PT33S,33,2d,hd,false,,en,https://i.ytimg.com/vi/vlhsBtQNrIk/maxresdefault.jpg,,,,,816,4,,0,0
9,UCrSSB3ymfBGktEufiIsf9lw,"Montefiore Health System",dYbeIC09VnU,2025-04-14T03:02:29Z,"2025-04-14 03:02:29","Stopping colon cancer with more testing options and treatment advances","Stopping colon cancer with more testing options and treatment advances: A new era for colon cancer testing and treatment. Read on LoHud.com by Montefiore Einstein’s Chaoyuan Kuang, MD, PhD, Co-Leader, GI Clinical and Translational Research, at Montefiore Einstein Comprehensive Cancer Center, and Othon Wiltz, MD, Colon and Rectal Surgeon in the link in the comments. #MontefioreEinstein #MontefioreEinsteinComprehensiveCancerCenter #MECCC #ColorectalCancer #ColonCancer #CancerScreening #Colonoscopy #VirtualColonoscopy #ColonCancerAwareness #Lohud","Montefiore,Montefiore Health System,Montefiore Medical Center,Montefiore Hospital,Hospital,Bronx",27,Education,"Health,Lifestyle_(sociology)",PT31S,31,2d,hd,false,,en,https://i.ytimg.com/vi/dYbeIC09VnU/maxresdefault.jpg,,,,,355,4,,0,1
10,UCrSSB3ymfBGktEufiIsf9lw,"Montefiore Health System",uGXeZYwv_pQ,2025-04-09T04:55:17Z,"2025-04-09 04:55:17","A creamy tikka masala that will put a spring in your step","A creamy tikka masala that will put a spring in your step. High-protein curry that’s perfect for meal prep. To get the recipe, visit our LoHud article, in the link in the comments. #Montefiore #MontefioreEinstein #Food #HealthyFood #EasyRecipeOfTheDay #LoHud #lohud_food","Montefiore,Montefiore Health System,Montefiore Medical Center,Montefiore Hospital,Hospital,Bronx",27,Education,"Food,Lifestyle_(sociology)",PT57S,57,2d,hd,false,,en,https://i.ytimg.com/vi/uGXeZYwv_pQ/maxresdefault.jpg,,,,,400,3,,0,1
