position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",nQ9ZTtWZZac,2025-05-06T18:00:29Z,"2025-05-06 18:00:29","When Should You See a Pulmonologist?","Breathing is such an essential part of life, many of us take it for granted. But where do you turn when there's something wrong with your lungs? Pulmonologist Abhaya Trivedi, MD, explains. #shorts #WorldAsthmaDay https://rsh.md/4iRk2Im",,28,"Science & Technology",Health,PT1M22S,82,2d,hd,true,,,https://i.ytimg.com/vi/nQ9ZTtWZZac/maxresdefault.jpg,,,,,576,5,,0,0
2,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",msUPCo8i5_g,2025-04-29T16:56:37Z,"2025-04-29 16:56:37","Bone and Joint Care Without Boundaries: Demystifying Pain and Helping You Live Your Best Life","Scientists and clinician-researchers from Rush University System for Health and Midwest Orthopaedics at Rush explain why Rush is uniquely positioned to advance musculoskeletal research. Our researchers frequently take innovative and creative approaches that lead to new observations — paving the way for breakthroughs. Ongoing investment in Rush’s work in this area is vital to improve joint health for everyone.",,29,"Nonprofits & Activism","Health,Knowledge",PT5M16S,316,2d,hd,true,,,https://i.ytimg.com/vi/msUPCo8i5_g/maxresdefault.jpg,,,,,60,2,,0,1
3,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",u5wJ4fejsqY,2025-04-28T14:27:55Z,"2025-04-28 14:27:55","Susan's Story: Brain Tumor Care at Rush","When doctors at Rush found a softball-sized tumor in Susan's brain, they did everything they possibly could.",,22,"People & Blogs",Health,PT31S,31,2d,hd,true,,en-US,https://i.ytimg.com/vi/u5wJ4fejsqY/maxresdefault.jpg,,,,,31910,1,,0,1
4,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",rhJcWmAcmEM,2025-04-24T16:01:39Z,"2025-04-24 16:01:39","A Kidney for My Sister","When Karen’s kidneys started failing, her brother Scott didn’t think twice — he got tested to be her donor. This is their story — through tests, surgery, and recovery — showing what it truly means to give the gift of life. #DonateLifeMonth Read more: https://rsh.md/42YnSe3",,28,"Science & Technology",Health,PT4M38S,278,2d,hd,true,,en-US,https://i.ytimg.com/vi/rhJcWmAcmEM/maxresdefault.jpg,,,,,32,1,,0,0
5,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",Qo-lg0anyLI,2025-04-21T14:00:38Z,"2025-04-21 14:00:38","How Sexual Assault Nurse Examiners Care for Victims","Survivors of sexual violence can often feel alone following an assault. That's where Rush's sexual assault nurse examiners step in. To mark #SexualAssaultAwarenessMonth, Rush SANEs share what to expect if you or a loved one are in need of support in the wake of sexual violence. #shorts Learn more about Rush's SANE program: https://rsh.md/4jbFgSc",,29,"Nonprofits & Activism",Health,PT1M53S,113,2d,hd,true,,,https://i.ytimg.com/vi/Qo-lg0anyLI/maxresdefault.jpg,,,,,688,8,,0,0
6,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",zZQx-rw88jE,2025-04-16T18:00:37Z,"2025-04-16 18:00:37","Lorenzo Muñoz, MD: Brain Tumor Care at Rush","Lorenzo Muñoz, MD, a neurosurgeon at RUSH MD Anderson Cancer Center, explains how he collaborates with a team of experts to provide some of the best care and support. #BrainTumorCare #Neurosurgery https://www.rush.edu/services/brain-tumor-care",,28,"Science & Technology","Health,Knowledge",PT1M32S,92,2d,hd,true,,,https://i.ytimg.com/vi/zZQx-rw88jE/maxresdefault.jpg,,,,,51,1,,0,1
7,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",1WuRY9uOu20,2025-04-15T19:35:36Z,"2025-04-15 19:35:36","Cancer Prevention","What steps can you take to help prevent cancer? Tarig Ahmed, MD, hematologist/oncologist, shares these helpful tips.",,22,"People & Blogs",Health,PT1M29S,89,2d,hd,true,,en-US,https://i.ytimg.com/vi/1WuRY9uOu20/maxresdefault.jpg,,,,,159,1,,0,
8,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",Nan4NmJJWpU,2025-04-11T19:16:25Z,"2025-04-11 19:16:25","Acoustic Neuroma Care","Acoustic neuromas are benign, often slow-growing tumors on nerves that connect the brain and the inner ear. Rush ENT specialist Elias Michaelides, MD, explains how they're treated — and how they can affect hearing. https://www.rush.edu/services/acoustic-neuroma-care",,22,"People & Blogs","Health,Knowledge",PT1M52S,112,2d,hd,false,,,https://i.ytimg.com/vi/Nan4NmJJWpU/maxresdefault.jpg,,,,,41,0,,0,0
9,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",dNZvmkycDxs,2025-04-07T15:28:17Z,"2025-04-07 15:28:17","What You Need to Know About Measles","Measles is one of the most infectious of the infectious diseases. Learn more about measles from Rush family medicine physician Lucy Fox, MD. #shorts",,28,"Science & Technology",Health,PT52S,52,2d,hd,true,,,https://i.ytimg.com/vi/dNZvmkycDxs/maxresdefault.jpg,,,,,2388,145,,0,4
10,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",buyzOQkCmao,2025-04-01T18:00:23Z,"2025-04-01 18:00:23","What Is TAVR?","TAVR, short for transcatheter aortic valve replacement, can greatly improve the quality of life for patients who otherwise have limited choices for repairing their aortic valve. Interventional cardiologist Hussam Suradi, MD, explains how it works. #shorts",,28,"Science & Technology",Health,PT33S,33,2d,hd,true,,,https://i.ytimg.com/vi/buyzOQkCmao/maxresdefault.jpg,,,,,6126,65,,0,0
11,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",JPI6khz3dhc,2025-03-31T16:00:30Z,"2025-03-31 16:00:30","Meet the Da Vinci Xi Robot","If you were an avid gamer as a kid, studies show you might have an advantage in the operating room using tools like the da Vinci Xi robot. Henry Govekar, MD, demonstrates how the tiny, wrist-like instruments and 3D imaging allow for smaller incisions, faster recovery times and improved surgical outcomes. Learn more about robotic surgery at Rush: https://rsh.md/4hOQ3jO #Shorts #ColorectalCancerAwareness",,28,"Science & Technology",Health,PT1M21S,81,2d,hd,true,,,https://i.ytimg.com/vi/JPI6khz3dhc/maxresdefault.jpg,,,,,4511,99,,0,2
12,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",wbU25Aa6wCI,2025-03-28T17:52:36Z,"2025-03-28 17:52:36","I'm a Doctor, of Course I ...","🩺💚 #DoctorsDay is almost here, so of course we’re celebrating our amazing physicians at Rush! Does your doctor go above and beyond? Visit the link below to send them a note of gratitude and make a gift. https://rushgiving.com/doctorsday",,28,"Science & Technology","Health,Knowledge",PT46S,46,2d,hd,true,,,https://i.ytimg.com/vi/wbU25Aa6wCI/maxresdefault.jpg,,,,,83,0,,0,0
13,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",TqS3YmBBmAI,2025-03-27T14:00:28Z,"2025-03-27 14:00:28","Why You Should See a Dermatologist for Skin and Hair Issues","Don't let beauty influencers confuse you: Seeing a dermatologist is the safest, most effective way to treat your skin and hair concerns. Samantha Venkatesh, MD, highlights the benefits of choosing a dermatology office for your care. Learn more about dermatology services at Rush: https://www.rush.edu/services/dermatology-services #shorts",,28,"Science & Technology",Health,PT1M20S,80,2d,hd,true,,,https://i.ytimg.com/vi/TqS3YmBBmAI/maxresdefault.jpg,,,,,153,0,,0,0
14,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",Ibb0K43JPHI,2025-03-21T17:46:34Z,"2025-03-21 17:46:34","What Is Structural Heart Disease?","What is structural heart disease? Gaurav Dhar, MD, explains.",,28,"Science & Technology",Health,PT44S,44,2d,hd,true,,,https://i.ytimg.com/vi/Ibb0K43JPHI/maxresdefault.jpg,,,,,168,2,,0,0
15,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",FpouuftZkTQ,2025-03-20T16:46:30Z,"2025-03-20 16:46:30","Worst Things for Your Kidneys?","How can you keep your kidneys healthy? Beenu Kaw, MD, explains. Meet Dr. Kaw: https://rsh.md/43QSEpZ #Shorts","chicago nephrologist,chronic kidney disease,how to protect your kidneys,kidney damage causes,kidney disease prevention,kidney failure risks,kidney health,kidney health mistakes,nephrology tips,worst things for your kidneys",28,"Science & Technology","Health,Lifestyle_(sociology)",PT24S,24,2d,hd,true,,,https://i.ytimg.com/vi/FpouuftZkTQ/maxresdefault.jpg,,,,,249,3,,0,0
16,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",cULT-5vFnTA,2025-03-18T14:00:22Z,"2025-03-18 14:00:22","Rush Acknowledges LGBTQ Health Awareness Week","Rush believes improving health means caring for the whole person. As we begin LGBTQ+ Health Awareness Week, Rush staff members confirm our steadfast commitment to the community.",,29,"Nonprofits & Activism",Health,PT26S,26,2d,hd,true,,,https://i.ytimg.com/vi/cULT-5vFnTA/maxresdefault.jpg,,,,,94,3,,0,0
17,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",v0K488kiM9Q,2025-03-10T22:44:23Z,"2025-03-10 22:44:23","How Does Multiple Sclerosis (MS) Work?","How exactly does multiple sclerosis work? The cells in our brain that are supposed to protect us attack us. Hear more from Augusto Miravalle, MD, and people living with MS on the Now What podcast: https://rsh.md/49mCWC5 #Shorts","MS doctor Chicago,MS podcast,MS program Chicago,MS progression,MS symptoms,MS treatment,Multiple sclerosis,autoimmune disease,central nervous system,demyelination,immune system attack,multiple sclerosis research,myelin sheath,nerve damage,neurological disease,neurology expert",28,"Science & Technology","Health,Society",PT1M19S,79,2d,hd,false,,,https://i.ytimg.com/vi/v0K488kiM9Q/maxresdefault.jpg,,,,,116,4,,0,0
18,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",me4BjaBtkhE,2025-03-05T17:51:33Z,"2025-03-05 17:51:33","Why I Celebrate Black History","At Rush, we celebrate Black History all year long. We asked staff members and students at Rush's Black History Month event why it's so important to celebrate.",,29,"Nonprofits & Activism",Society,PT1M54S,114,2d,hd,true,,,https://i.ytimg.com/vi/me4BjaBtkhE/maxresdefault.jpg,,,,,82,3,,0,0
19,UCPsHraybgqSCHorAcg7Y8Tg,"Rush University System for Health",20n63kIOZk4,2025-03-05T17:38:58Z,"2025-03-05 17:38:58","Why I Celebrate Black History","At Rush, we celebrate Black History all year long. We asked staff members and students at Rush's Black History Month event why it's so important to celebrate.",,29,"Nonprofits & Activism",Society,PT1M54S,114,2d,hd,true,,,https://i.ytimg.com/vi/20n63kIOZk4/maxresdefault.jpg,,,,,101,8,,0,0
