position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCLMLmfKSCBVFR8HpcjSu2lQ,"Scripps Health",L1MzjBUSLQo,2025-05-05T22:03:39Z,"2025-05-05 22:03:39","How to Diagnose and Treat Lupus","Lupus is a complex autoimmune disease that can affect many parts of the body—and often goes undiagnosed. 🧬 Usman Ajaz, MD, Rheumatologist with Scripps Coastal Medical Group, breaks down the causes, symptoms, and treatment options to help patients take control of their health. Watch the full interview now. #LupusAwareness #AutoimmuneHealth #ScrippsHealth 0:30 – What is lupus? 0:52 – What are types of lupus? 01:27 – What causes lupus? 02:00 – If a family member has lupus, what are your chances of getting it? 02:16: – What are symptoms of lupus? 03:56 – Why is it hard to diagnose lupus? 05:17 – How do you test for lupus? 06:58 – Who is most at risk for lupus? 07:13 – How do you treat lupus? 08:36 – When should you go see a doctor to deal with lupus symptoms? 09:06 – What can happen if you don’t get a handle on lupus? 09:38 – Any final thoughts on lupus?","health,scripps health,scripps,san diego,california,healthcare,health care,doctor",29,"Nonprofits & Activism","Health,Knowledge",PT10M30S,630,2d,hd,false,en,en,https://i.ytimg.com/vi/L1MzjBUSLQo/maxresdefault.jpg,,,,,125,4,,0,0
2,UCLMLmfKSCBVFR8HpcjSu2lQ,"Scripps Health",b2XCB1LlktM,2025-05-05T20:11:37Z,"2025-05-05 20:11:37","Scripps Mercy OBGYN Tour","Scripps Mercy Hospital provides personalized care for you and your new baby in San Diego. You will experience labor, delivery and recovery all in the same room; after delivery, you and your new baby will stay together. Beds or roll-away cots are available for your support person to stay with you","health,scripps health,scripps,san diego,california,healthcare,health care,doctor",29,"Nonprofits & Activism",Health,PT7M12S,432,2d,hd,false,en,en,https://i.ytimg.com/vi/b2XCB1LlktM/maxresdefault.jpg,,,,,82,2,,0,0
3,UCLMLmfKSCBVFR8HpcjSu2lQ,"Scripps Health",7Hcycf7lceE,2025-04-29T17:55:44Z,"2025-04-29 17:55:44","IBS 101: What you need to know","How to Diagnose and Treat Irritable Bowel Syndrome (IBS) Ongoing stomach pain, diarrhea, or constipation? It could be IBS. In this San Diego Health video, host Susan Taylor talks with gastroenterologist Dr. Chiara Maruggi about how IBS is diagnosed, what causes it, and the latest treatments — including lifestyle and dietary changes like the low FODMAP diet. Learn how to manage symptoms and take control of your gut health. • 00:33 – What’s the difference between an upset stomach and irritable bowel syndrome (IBS) • 01:14 – What are the three types of IBS? • 01:34 – How common is IBS? • 01:59 – Who is most at risk for IBS? • 02:40 – Is there a genetic component for IBS? • 03:14 – How do you diagnose IBS? • 03:44 – How do you treat IBS? • 03:59 – What is FODMAP? • 04:53 – Can IBS be cured by changing your diet or is this a chronic condition? • 05:26 – What’s the difference between IBS vs celiac disease? • 06:07 – When should you see a doctor if you have IBS symptoms? • 06:38 – Final thoughts #IBS #GutHealth #DigestiveHealth #SanDiegoHealth","health,scripps health,scripps,san diego,california,healthcare,health care,doctor",29,"Nonprofits & Activism","Health,Knowledge",PT7M27S,447,2d,hd,false,en,en,https://i.ytimg.com/vi/7Hcycf7lceE/maxresdefault.jpg,,,,,147,5,,0,0
4,UCLMLmfKSCBVFR8HpcjSu2lQ,"Scripps Health",H5aM9a60eLM,2025-04-21T22:00:24Z,"2025-04-21 22:00:24","Live Kidney Donation","In this video, Dr. Jenny Lam, a transplant surgeon at Scripps, discusses kidney failure, treatment options and the life-saving impact of living kidney donation. Learn how healthy kidneys function, the causes of kidney failure and how a living donor kidney transplant can significantly improve outcomes and quality of life. Discover the process of becoming a living kidney donor and how it can change someone's life without affecting your own health. For more information on becoming a living donor, visit: https://www.scripps.org/services/transplant-services/living-organ-donation 00:30 – What causes the kidney to fail? 01:17 – How do you know that you need a kidney transplant? 01:48 – What’s the difference between a living organ donation and getting a kidney from someone who has recently passed away? 02:16 – What’s the success rate of a new kidney from a living donor? 02:29 – What’s the difference in the wait time between a living donor and a kidney that’s been donated from someone who has recently passed away? 03:08 – We’re born with two kidneys, but the organ donation is just one kidney. How does that affect the donor and recipient? 03:34 – Do doctors leave both kidneys in your body and then add the new kidney? So, you’ll have three kidneys in your body? 04:29 – If it’s a living donor, do both surgeries happen side by side? 05:05 – Can the person who is donating the kidney live a long healthy life with just one kidney? 05:40 – How long is the person getting the new kidney and the person who is donating the kidney stay in the hospital? 06:05 – What’s the recovery time for getting back to your normal activities for both the recipient and the donor? 07:02 – What is the life expectancy after you’ve been given a new kidney? 07:27– What kind of medication do you need to take so your body does not reject the new donated kidney? How long do you need to take that medication? 08:19 – How do you know if you are a match for a living kidney donation, for the donor and the recipient? What kind of tests do you undergo? 08:54 – Are there some people who would not be good candidates to be a living donor? 09:35 – What goes on at the Scripps Center for Organ and Cell Transplantation? 10:13 – If you want to be an organ donor, what do you need to do? 10:30 – Final thoughts #kidneydonation #livingdonor #kidneytransplantation #organdonation #ScrippsTransplant","health,scripps health,scripps,san diego,california,healthcare,health care,doctor",29,"Nonprofits & Activism",Health,PT11M29S,689,2d,hd,false,en,en,https://i.ytimg.com/vi/H5aM9a60eLM/maxresdefault.jpg,,,,,82,3,,0,0
5,UCLMLmfKSCBVFR8HpcjSu2lQ,"Scripps Health",XHPcTsD4J5I,2025-03-24T16:57:23Z,"2025-03-24 16:57:23","Scripps Endocrinologist Gabriela Jordan, MD","Endocrinologist Gabriela Jordan, MD , provides comprehensive and compassionate care for weight management, focusing on personalized treatment for weight loss and related conditions like diabetes, high blood pressure, and high cholesterol. Learn more: https://campaigns.scripps.org/physicians/44418-gabriela-jordan","health,scripps health,scripps,san diego,california,healthcare,health care,doctor",29,"Nonprofits & Activism","Health,Knowledge",PT1M54S,114,2d,hd,true,en,en,https://i.ytimg.com/vi/XHPcTsD4J5I/maxresdefault.jpg,,,,,138,0,,0,0
6,UCLMLmfKSCBVFR8HpcjSu2lQ,"Scripps Health",_SF0lleyjpI,2025-03-14T22:33:06Z,"2025-03-14 22:33:06","Type 2 Diabetes","Can Type 2 Diabetes Be Reversed? Type 2 diabetes is on the rise, especially among younger populations. But the good news? It’s possible to prevent or even reverse the disease through lifestyle changes. In this video, San Diego Health host Susan Taylor speaks with Scripps endocrinologist Dr. Gabriela Jordan about what causes Type 2 diabetes, risk factors, and how healthy eating and exercise can help manage or even reverse the condition. Learn about the Mediterranean diet, the importance of exercise, and how continuous glucose monitors can help track your blood sugar levels for better control. Watch now to find out how you can take control of your health! 00:34 – What’s the difference between type 1 and type 2 diabetes? 01:07 – What are the symptoms of type 2 diabetes? 01:36 – Who is most at risk? 02:05 – If somebody in your family has type 2 diabetes, how much more likely are you to have it? 02:37 – What’s the connection between weight and diabetes? 03:01 – What about belly fat? 03:35 – More and more teens and young adults are developing type 2 diabetes, why is this? 04:27 – Can type 2 diabetes be prevented or delayed with some lifestyle changes? 05:11 – Can you reverse type 2 diabetes? 05:49 – How do you test for type 2 diabetes? 06:39 – How do you treat type 2 diabetes? 07:35 – What kind of foods can you eat that will fight type 2 diabetes? 08:22 – There are innovative technologies that help you track your blood sugar levels in real time, can you explain that? 09:06 – Final thoughts? #Type2Diabetes #Prevention #ScrippsHealth #HealthyLiving #DiabetesManagement #MediterraneanDiet #Exercise #GlucoseMonitor #Endocrinology","health,scripps health,scripps,san diego,california,healthcare,health care,doctor",29,"Nonprofits & Activism","Health,Knowledge",PT10M8S,608,2d,hd,false,en,en,https://i.ytimg.com/vi/_SF0lleyjpI/maxresdefault.jpg,,,,,128,3,,0,0
7,UCLMLmfKSCBVFR8HpcjSu2lQ,"Scripps Health",xt4LvPlxpb8,2025-03-14T22:33:03Z,"2025-03-14 22:33:03","Bariatric Surgery Orientation",,"health,scripps health,scripps,san diego,california,healthcare,health care,doctor",29,"Nonprofits & Activism","Health,Knowledge",PT38M55S,2335,2d,hd,true,en,en,https://i.ytimg.com/vi/xt4LvPlxpb8/maxresdefault.jpg,,,,,29,0,,0,0
8,UCLMLmfKSCBVFR8HpcjSu2lQ,"Scripps Health",c6DUDjV0xzk,2025-03-14T22:33:01Z,"2025-03-14 22:33:01","Bariatric-Metabolic Surgery Orientation",,"health,scripps health,scripps,san diego,california,healthcare,health care,doctor",29,"Nonprofits & Activism","Health,Knowledge",PT33M14S,1994,2d,hd,true,en,en,https://i.ytimg.com/vi/c6DUDjV0xzk/maxresdefault.jpg,,,,,58,0,,0,0
9,UCLMLmfKSCBVFR8HpcjSu2lQ,"Scripps Health",RU49gHeCf8Q,2025-03-14T22:32:58Z,"2025-03-14 22:32:58","Surgical Treatment for Severe Obesity",,"health,scripps health,scripps,san diego,california,healthcare,health care,doctor",29,"Nonprofits & Activism","Health,Knowledge",PT13M13S,793,2d,hd,true,en,en,https://i.ytimg.com/vi/RU49gHeCf8Q/maxresdefault.jpg,,,,,36,1,,0,0
10,UCLMLmfKSCBVFR8HpcjSu2lQ,"Scripps Health",_NRZWA1I-cU,2025-02-18T19:23:58Z,"2025-02-18 19:23:58","What Is Atrial Fibrillation (AFib) and How Is It Treated? with Douglas Gibson, MD | San Diego Health","Atrial fibrillation happens when the heart beats at a very fast rate—typically more than 100 beats per minute. Commonly called AFib, atrial fibrillation is the most common form of arrhythmia, or irregular heartbeat. AFib causes various symptoms and can be very serious. New technology can treat Afib using faster, more effective methods than in the past. In this video, San Diego Health host Susan Taylor talks with Doug Gibson, MD, a Scripps cardiac electrophysiologist and director of cardiac electrophysiology at the Scripps Prebys Cardiovascular Institute. Learn more: https://www.scripps.org/7942yt 00:41 – What exactly is AFib? 00:57 – What causes AFib? 01:08 – What are the symptoms of AFib? 0:18 – What triggers AFib? 01:51 – Who is most at risk for AFib? 02:05 – What does it put you at risk for? 02:15 – Does it give you a higher risk for blood clots? 02:34 – How do you diagnose AFib? 02:51 – How do you treat it? 03:10 – Talk about this new less invasive technology to treat it; what is pulsed field ablation? 03:41 – This is not major open-heart surgery, right? 03:52 – How long does the procedure take? 04:03 – What’s the down time after the procedure? Does the patient spend the night at the hospital? 04:28 – How soon before you can resume your normal activities, such as walking or running or playing baseball? 04:47 – Is there anybody who is not a candidate for this minimally invasive procedure? 05:10 – There are lots of reasons why you might be short of breath and have heart palpations; when should you go see a doctor? 05:24 – Final thoughts?","health,scripps health,scripps,san diego,california,healthcare,health care,doctor,atrial fibrillation,afib,afib treatment,atrial fibrillation treatment,heart care,cardiology,what is afib,what is atrial fibrillation,heart palpitations,heart palpitations causes,pulsed field ablation,pulsed field ablation afib,pulsed field ablation procedure,afib symptoms",29,"Nonprofits & Activism","Health,Knowledge",PT6M24S,384,2d,hd,true,en,en,https://i.ytimg.com/vi/_NRZWA1I-cU/maxresdefault.jpg,,,,,378,5,,0,0
