position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UC2UGslpLJ5LWVgpYM-u-bHw,"Seattle Children's",PMN2H6oVGyM,2025-05-05T17:00:51Z,"2025-05-05 17:00:51","What are Brain Organoids?","This video explains what brain organoids are and how they are used in research. Created by the MacDuffie Lab with Booster Shot Media, funded by a grant from the National Institutes of Health. (R00MH125328)","brain organoid,Seattle Children's,pediatric,seattle",29,"Nonprofits & Activism","Health,Knowledge",PT5M37S,337,2d,hd,false,,en,https://i.ytimg.com/vi/PMN2H6oVGyM/maxresdefault.jpg,,,,,25,3,,0,0
2,UC2UGslpLJ5LWVgpYM-u-bHw,"Seattle Children's",naSBAY61h2s,2025-04-28T18:54:51Z,"2025-04-28 18:54:51","Exploring New Dimensions in Congenital Heart Disease","Provider Grand Rounds For more Grand Rounds: www.seattlechildrens.org/grandrounds","pediatric cardiologymedical imaging in complex CHDMRI technologies",29,"Nonprofits & Activism","Health,Knowledge",PT47M41S,2861,2d,hd,false,,en,https://i.ytimg.com/vi/naSBAY61h2s/maxresdefault.jpg,,,,,32,0,,0,0
3,UC2UGslpLJ5LWVgpYM-u-bHw,"Seattle Children's",scIHf2iCYxs,2025-04-28T18:54:49Z,"2025-04-28 18:54:49","A Preview of AI Solutions and Panel Discussion","Provider Grand Rounds For more Grand Rounds: www.seattlechildrens.org/grandrounds","Artificial Intelligence in Pediatric Care",29,"Nonprofits & Activism",Knowledge,PT54M44S,3284,2d,hd,false,,en,https://i.ytimg.com/vi/scIHf2iCYxs/maxresdefault.jpg,,,,,57,0,,0,0
4,UC2UGslpLJ5LWVgpYM-u-bHw,"Seattle Children's",G7wRjHiTaBg,2025-04-21T21:50:37Z,"2025-04-21 21:50:37","2025 CRMO Family Conference | Research Update CNO","Chronic Recurrent Multifocal Osteomyelitis (CRMO) Family Conference hosted by Seattle Children's Hospital. CRMO/CNO research update given by Dr. Dan (Yongdong) Zhao. For more info: https://www.seattlechildrens.org/clinics/chronic-recurrent-multifocal-osteomyelitis-program/","Chronic Recurrent Multifocal Osteomyelitis,CRMO,research,education,Seattle Children's Hospital,Seattle Childrens,CNO,Chronic Nonbacterial Osteomyelitis,experts",29,"Nonprofits & Activism","Health,Knowledge",PT41M31S,2491,2d,hd,false,,en,https://i.ytimg.com/vi/G7wRjHiTaBg/maxresdefault.jpg,,,,,77,0,,0,0
5,UC2UGslpLJ5LWVgpYM-u-bHw,"Seattle Children's",2DG4NonPK4M,2025-04-21T21:50:33Z,"2025-04-21 21:50:33","2025 CRMO Family Conference | Breakout Session - Pain Management","Chronic Recurrent Multifocal Osteomyelitis (CRMO) Family Conference hosted by Seattle Children's Hospital. Pain management breakout room led by Dr. Natalie Rosenwasser, Dr. See Wan Tham, and Dr. Tonya Palermo. For more info: https://www.seattlechildrens.org/clinics/chronic-recurrent-multifocal-osteomyelitis-program/","Chronic Recurrent Multifocal Osteomyelitis,CRMO,research,education,Seattle Children's Hospital,Seattle Childrens,CNO,Chronic Nonbacterial Osteomyelitis,experts",29,"Nonprofits & Activism","Health,Knowledge",PT48M7S,2887,2d,hd,false,,en,https://i.ytimg.com/vi/2DG4NonPK4M/maxresdefault.jpg,,,,,35,0,,0,0
6,UC2UGslpLJ5LWVgpYM-u-bHw,"Seattle Children's",8ipsVzkMvq0,2025-04-21T21:50:29Z,"2025-04-21 21:50:29","2025 CRMO Family Conference | Breakout Session - Transition to Adult Care","Chronic Recurrent Multifocal Osteomyelitis (CRMO) Family Conference hosted by Seattle Children's Hospital. Transition to adult care breakout room led by Faith Murray and Braelyn Scheer, former Seattle Children's patients. For more info: https://www.seattlechildrens.org/clinics/chronic-recurrent-multifocal-osteomyelitis-program/","Chronic Recurrent Multifocal Osteomyelitis,CRMO,research,education,Seattle Children's Hospital,Seattle Childrens,CNO,Chronic Nonbacterial Osteomyelitis,experts",29,"Nonprofits & Activism","Health,Knowledge",PT1H30M20S,1820,2d,hd,false,,en,https://i.ytimg.com/vi/8ipsVzkMvq0/maxresdefault.jpg,,,,,27,1,,0,0
7,UC2UGslpLJ5LWVgpYM-u-bHw,"Seattle Children's",8AK6X04uPz4,2025-04-21T21:50:24Z,"2025-04-21 21:50:24","2025 CRMO Family Conference | Breakout Session - Coping with Common CRMO Procedures","Chronic Recurrent Multifocal Osteomyelitis (CRMO) Family Conference hosted by Seattle Children's Hospital. Coping with common CRMO procedures breakout room led by Kelsey Carlson and Maddy Petrowski, Child Life Specialists. For more info: https://www.seattlechildrens.org/clinics/chronic-recurrent-multifocal-osteomyelitis-program/","Chronic Recurrent Multifocal Osteomyelitis,CRMO,research,education,Seattle Children's Hospital,Seattle Childrens,CNO,Chronic Nonbacterial Osteomyelitis,experts",29,"Nonprofits & Activism","Health,Knowledge",PT42M27S,2547,2d,hd,false,,en,https://i.ytimg.com/vi/8AK6X04uPz4/maxresdefault.jpg,,,,,19,0,,0,0
8,UC2UGslpLJ5LWVgpYM-u-bHw,"Seattle Children's",-Cn_hmBc7Ak,2025-04-21T21:50:17Z,"2025-04-21 21:50:17","2025 CRMO Family Conference | Breakout Session Advocacy and Accommodation","Chronic Recurrent Multifocal Osteomyelitis (CRMO) Family Conference hosted by Seattle Children's Hospital. Advocacy and accommodation breakout room led by Amelia Hillier, Registered Nurse. For more info: https://www.seattlechildrens.org/clinics/chronic-recurrent-multifocal-osteomyelitis-program/","Chronic Recurrent Multifocal Osteomyelitis,CRMO,research,education,Seattle Children's Hospital,Seattle Childrens,CNO,Chronic Nonbacterial Osteomyelitis,experts",29,"Nonprofits & Activism","Health,Knowledge",PT45M8S,2708,2d,hd,false,,en,https://i.ytimg.com/vi/-Cn_hmBc7Ak/maxresdefault.jpg,,,,,31,0,,0,0
9,UC2UGslpLJ5LWVgpYM-u-bHw,"Seattle Children's",ZN0L_7dyDsk,2025-04-21T21:50:09Z,"2025-04-21 21:50:09","2025 CRMO Family Conference | Breakout Session - Dealing with Insurance","Chronic Recurrent Multifocal Osteomyelitis (CRMO) Family Conference hosted by Seattle Children's Hospital. Insurance and prior authorizations breakout room lead by Michele Medley, Medical Assistant. For more info: https://www.seattlechildrens.org/clinics/chronic-recurrent-multifocal-osteomyelitis-program/","Chronic Recurrent Multifocal Osteomyelitis,CRMO,research,education,Seattle Children's Hospital,Seattle Childrens,CNO,Chronic Nonbacterial Osteomyelitis,experts",29,"Nonprofits & Activism","Health,Knowledge",PT45M52S,2752,2d,hd,false,,en,https://i.ytimg.com/vi/ZN0L_7dyDsk/maxresdefault.jpg,,,,,13,0,,0,0
10,UC2UGslpLJ5LWVgpYM-u-bHw,"Seattle Children's",HoxM4xTbwKI,2025-04-21T21:49:48Z,"2025-04-21 21:49:48","2025 CRMO Family Conference | Introduction","Chronic Recurrent Multifocal Osteomyelitis (CRMO) Family Conference hosted by Seattle Children's Hospital. Welcome and introduction from Ava Klein, CRMO Program Coordinator. CRMO Warriors Guild information from Athena Dickerson, Guild Member and CRMO parent. Breakout room information from Dr. Natalie Rosenwasser, CRMO Program Co-Director. For more info: https://www.seattlechildrens.org/clinics/chronic-recurrent-multifocal-osteomyelitis-program/","Chronic Recurrent Multifocal Osteomyelitis,CRMO,research,education,Seattle Children's Hospital,Seattle Childrens,CNO,Chronic Nonbacterial Osteomyelitis,experts",29,"Nonprofits & Activism","Health,Knowledge",PT21M51S,1311,2d,hd,false,,en,https://i.ytimg.com/vi/HoxM4xTbwKI/maxresdefault.jpg,,,,,96,3,,0,0
