position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCtEWTaMjqOH8J1Gy06Ey0Yg,"The Holistic Psychologist",SCtEz6kNGoY,2025-05-06T19:00:21Z,"2025-05-06 19:00:21","Release stored anger quickly","Join my private healing community. Enrollment is NOW OPEN. Spaces are limited and do sell out: https://selfhealerscircle.com/ Order my books: ""How To Be The Love You Seek"" https://howtobetheloveyouseek.com ""How to Meet Yourself"" https://howtomeetyourself.com ""How to Do the Work"" https://theholisticpsychologist.com/how-to-do-the-work/ Get my FREE Relationship Future Self Journal: https://theholisticpsychologist.com/relationship-future-self-journal/ #stressrelief #stressreliever #stress #stressmanagement #nervoussystem","Dr. Nicole,The SelfHealers Circle,How to be the love you seek,How to do the work,how to meet yourself,Holistic healing,Dr. Nicole LePera,Mental health,Healing journey,Self Help",27,Education,"Health,Lifestyle_(sociology)",PT29S,29,2d,hd,false,,en,https://i.ytimg.com/vi/SCtEz6kNGoY/maxresdefault.jpg,1,,,,15788,1299,,0,64
2,UCtEWTaMjqOH8J1Gy06Ey0Yg,"The Holistic Psychologist",A0a0vHAo3oA,2025-05-04T19:00:12Z,"2025-05-04 19:00:12","Epigenetics and self healing","Join my private healing community. Enrollment is NOW OPEN. Spaces are limited and do sell out: https://selfhealerscircle.com/ Order my books: ""How To Be The Love You Seek"" https://howtobetheloveyouseek.com ""How to Meet Yourself"" https://howtomeetyourself.com ""How to Do the Work"" https://theholisticpsychologist.com/how-to-do-the-work/ Get my FREE Relationship Future Self Journal: https://theholisticpsychologist.com/relationship-future-self-journal/ Epigenetics and self healing Complete transcript: I want to share one of the most fascinating studies on the power of epigenetics It's called the Dutch Hunger Winter Study. In World War II pregnant women were exposed to a devastating famine that killed tens of thousands of people. The results were shocking The children they gave birth to had higher rates of metabolic disorders cardiovascular disease and even mental health issues even though they weren't directly exposed to the famine. Here's what's incredible. The results didn't stop there .The grandchildren of those women even though they weren't exposed to the famine at all also showed a higher risk for similar health issues.What does this mean It's epigenetics at work How environmental factors like famine trauma and even stress can leave a mark on our genes altering the way our genes are expressed while not changing the genetic code at all. And it's those epigenetic changes that are passed down from generation to generation. This study flips what we thought we knew about genetics It shows that our experiences our stress and even the things that our parents and grandparents went through can literally reshape our biology and influence future generations. And most importantly epigenetics shows us that we can change our family story and actually heal oursel through our own choices. We can change our genetic expression. Research backs this because in a follow-up study researchers found that the epigenetic changes of people who were in the famine weren't permanent. People who had better nutrition and healthier relationships actually showed a reversal in effects and had overall improved. #epigenetic #genetics #stress #healthylifestyle #healthyliving","Dr. Nicole,The SelfHealers Circle,How to be the love you seek,How to do the work,how to meet yourself,Holistic healing,Dr. Nicole LePera,Mental health,Healing journey,Self Help",27,Education,Health,PT1M36S,96,2d,hd,false,,en,https://i.ytimg.com/vi/A0a0vHAo3oA/maxresdefault.jpg,1,,,,29931,2300,,0,77
3,UCtEWTaMjqOH8J1Gy06Ey0Yg,"The Holistic Psychologist",VXs5FpYKgHw,2025-05-03T19:00:34Z,"2025-05-03 19:00:34","Change your life with small, simple steps","Join my private healing community. Enrollment is NOW OPEN! Spaces are limited and do sell out: https://selfhealerscircle.com/ Order my books: ""How To Be The Love You Seek"" https://howtobetheloveyouseek.com ""How to Meet Yourself"" https://howtomeetyourself.com ""How to Do the Work"" https://theholisticpsychologist.com/how-to-do-the-work Get my FREE Relationship Future Self Journal: https://theholisticpsychologist.com/relationship-future-self-journal Change your life with small, simple steps How to create your future self Keypoints: 0:00 Intro: How to create your future self 0:29 Neuroplasticity 1:24 Trauma it's what happens inside of you 2:16 Who you were always meant to be 2:34 5 Clear steps to become your future self 2:40 Start with awareness 3:45 Practice regulation 5:21 Design- your future self 6:42 Take aligned actions 8:25 Give yourself grace 10:07 Share in the comments: Who is it that you want to be as your future self? #selfimprovement #futureself #healing #growthmindset #selfhealing","Dr. Nicole,The SelfHealers Circle,How to be the love you seek,How to do the work,how to meet yourself,Holistic healing,Dr. Nicole LePera,Mental health,Healing journey,Self Help",27,Education,Health,PT10M16S,616,2d,hd,false,,en,https://i.ytimg.com/vi/VXs5FpYKgHw/maxresdefault.jpg,1,,,,7337,663,,0,59
4,UCtEWTaMjqOH8J1Gy06Ey0Yg,"The Holistic Psychologist",nOJO50D_J9c,2025-05-02T19:00:52Z,"2025-05-02 19:00:52","Breakups and anxious attachment","Join my private healing community. Enrollment is NOW OPEN. Spaces are limited and do sell out: https://selfhealerscircle.com/ Order my books: ""How To Be The Love You Seek"" https://howtobetheloveyouseek.com ""How to Meet Yourself"" https://howtomeetyourself.com ""How to Do the Work"" https://theholisticpsychologist.com/how-to-do-the-work/ Get my FREE Relationship Future Self Journal: https://theholisticpsychologist.com/relationship-future-self-journal/ Breakups and anxious attachment Complete transcript: Person: I'm devastated over the break up. Therapist: What if I told you that you want them back so badly, not because who they are but just because you just want them to want you. You have abandonment wounds from childhood, and that just means that you're fixated on being chosen. We never learn what healthy love looks like. You're just not sure. So whenever you're with someone no matter how bad they treat you, or how checked out they are, you just want to keep the attachment. Beceause being left, is your greatest fear. Person: I know. I did everything to make it work. Therapist: Did you do everything to make it work? Or did you abandon yourself in order to not be abandoned by someone else. See that's what happens when we have these childhood abandonment wounds. We think that making it work means losing ourself in the process. Therpist: It's true and because you're anxiously attached you end up with partners who ara avoidant. And those partners don't want to to learn what your needs are. Or how to make you feel safe. Instead it becomes you doing all of the work. And over time you end up being resentful because you took emotional breadcrumbs.. Person: That's exactly why we broken up. Therapist: Your core belief is that you're not worthy of being loved, which leads you to avoidant partners who haven't healed enough to understand how to be in a functional healthy relationship. In the end you're exhausted and left feeling abandoned again, confirming your own core beliefs. #attachmentstyles #anxiousattachment #anxietyhealing #relationships #selfimprovement","Dr. Nicole,The SelfHealers Circle,How to be the love you seek,How to do the work,how to meet yourself,Holistic healing,Dr. Nicole LePera,Mental health,Healing journey,Self Help",27,Education,Health,PT1M4S,64,2d,hd,false,,en,https://i.ytimg.com/vi/nOJO50D_J9c/maxresdefault.jpg,1,,,,59638,4126,,0,126
5,UCtEWTaMjqOH8J1Gy06Ey0Yg,"The Holistic Psychologist",W1h2b3WIRB8,2025-04-29T19:00:35Z,"2025-04-29 19:00:35","How glucose affects mental health","Join my private healing community. Enrollment opens May 1st. Click here to join the waitlist and secure your spot: https://selfhealerscircle.com/ Order my books: ""How To Be The Love You Seek"" https://howtobetheloveyouseek.com ""How to Meet Yourself"" https://howtomeetyourself.com ""How to Do the Work"" https://theholisticpsychologist.com/how-to-do-the-work/ Get my FREE Relationship Future Self Journal: https://theholisticpsychologist.com/relationship-future-self-journal/ How glucose affects mental health Complete transcript: The Holistic Psychologist: What if your mental health issues, aren't a brain problem, but a metabolism problem. Studies show that conditions like depression, anxiety, and even bipolar are linked to how your brain processes energy, especially glucose. Your brain is the most energy-hungry organ in your body. And if it's not getting fueled properly, things start to break down. For example research shows that people who have depression, often have low glucose metabolism in key areas of their brain. This means that their brain isn't efficiently able to turn fuel into energy, leading to fatigue, brain fog, and mood instability. It's not just depression, schizophrenia and bipolar disorder have been linked to insulin resistance. Meaning that their body struggles to regulate blood sugar, which directly affects brain function so instead of looking at mental illness as a chemical imbalance, we need to be asking how is the brain getting its energy? Is blood sugar stable or is it constantly spiking and crashing? Is insulin resistance playing a role? Because when you fix your metabolic health, you don't just change your physical health you change your mental health too. #glucosecontrol #mindandbody #bodymind #mentalhealth #nervoussystem","Dr. Nicole,The SelfHealers Circle,How to be the love you seek,How to do the work,how to meet yourself,Holistic healing,Dr. Nicole LePera,Mental health,Healing journey,Self Help",27,Education,Health,PT1M3S,63,2d,hd,false,,en,https://i.ytimg.com/vi/W1h2b3WIRB8/maxresdefault.jpg,1,,,,66040,4306,,0,194
6,UCtEWTaMjqOH8J1Gy06Ey0Yg,"The Holistic Psychologist",scUyAHuOnX8,2025-04-27T19:00:52Z,"2025-04-27 19:00:52","You were inside your grandmother","Join my private healing community. Enrollment opens May 1st. Click here to join the waitlist and secure your spot: https://selfhealerscircle.com/ Order my books: ""How To Be The Love You Seek"" https://howtobetheloveyouseek.com ""How to Meet Yourself"" https://howtomeetyourself.com ""How to Do the Work"" https://theholisticpsychologist.com/how-to-do-the-work/ Get my FREE Relationship Future Self Journal: https://theholisticpsychologist.com/relationship-future-self-journal/ You were inside your grandmother Complete transcript: The Holistic Psychlogist: Did you know that you were an egg inside your grandmother before you were born? Your mom was born with all of the eggs she would ever have. And you, yes you were one of those eggs inside of her. That means that the experiences your grandmother had and the environment she was in shaped the egg that would eventually become you. Through everything her nutrition to her stress and even her trauma could have impacted you before you even had a chance to exist. You're carrying not only your mother's history but your grandmothers too and because we now understand that genetic expression isn't fixed if you're a cycle breaker, you can literally change the future. #familydynamics #emotionalhealing #healing #healingjourney #selfimprovement","Dr. Nicole,The SelfHealers Circle,How to be the love you seek,How to do the work,how to meet yourself,Holistic healing,Dr. Nicole LePera,Mental health,Healing journey,Self Help",27,Education,"Health,Lifestyle_(sociology)",PT36S,36,2d,hd,false,,en,https://i.ytimg.com/vi/scUyAHuOnX8/maxresdefault.jpg,1,,,,57413,2970,,0,130
7,UCtEWTaMjqOH8J1Gy06Ey0Yg,"The Holistic Psychologist",6z6mBX-bXvQ,2025-04-26T19:00:10Z,"2025-04-26 19:00:10","Calm your nervous system into a parasympathetic state","Join my private healing community. Enrollment is NOW OPEN! Spaces are limited and do sell out: https://selfhealerscircle.com/ Order my books: ""How To Be The Love You Seek"" https://howtobetheloveyouseek.com ""How to Meet Yourself"" https://howtomeetyourself.com ""How to Do the Work"" https://theholisticpsychologist.com/how-to-do-the-work/ Get my FREE Relationship Future Self Journal: https://theholisticpsychologist.com/relationship-future-self-journal Mediation for healing hypervigilance Calm your nervous system into a parasympathetic state #healingjourney #hypervigilance #meditation #meditationmusicrelaxmindbody #selfawareness","Dr. Nicole,The SelfHealers Circle,How to be the love you seek,How to do the work,how to meet yourself,Holistic healing,Dr. Nicole LePera,Mental health,Healing journey,Self Help",27,Education,Health,PT12M18S,738,2d,hd,false,,en,https://i.ytimg.com/vi/6z6mBX-bXvQ/maxresdefault.jpg,,,,,5182,356,,0,25
8,UCtEWTaMjqOH8J1Gy06Ey0Yg,"The Holistic Psychologist",dcL8Rqz1IP8,2025-04-25T19:00:36Z,"2025-04-25 19:00:36","Fake alcohol, real drunk?","Join my private healing community. Enrollment opens May 1st. Click here to join the waitlist and secure your spot: https://selfhealerscircle.com/ Order my books: ""How To Be The Love You Seek"" https://howtobetheloveyouseek.com ""How to Meet Yourself"" https://howtomeetyourself.com ""How to Do the Work"" https://theholisticpsychologist.com/how-to-do-the-work/ Get my FREE Relationship Future Self Journal: https://theholisticpsychologist.com/relationship-future-self-journal/ Fake alcohol, real drunk? Complete transcript: The Holistic Psychologist: In a study called the placebo alcohol experiment, participants were given non-alcoholic beverages but were told they contained alcohol. And you know what happened? They acted intoxicated anyway. Their speech was slurred their motor skills were impaired. And they acted in a more social way. It was as if their brain convinced their body, that they were drunk. And their body followed the script. So what does this mean? Your beliefs shape your reality more than you might realize. The mind-body connection is so strong, that we can actually shape what our body experiences through what we believe. What if you believe that you're breaking generational cycles, that you're capable and resilient, that your body wants to heal, and you're in the process of healing. Your body is going to respond to those beliefs. So take out a piece of paper or the notepad on your phone and write down what you want to believe. And start practicing those beliefs everyday until they become a part of your reality. #alcohol #selfawareness #healingjourney #behavior #beliefsystem #mindbodyconnection","Dr. Nicole,The SelfHealers Circle,How to be the love you seek,How to do the work,how to meet yourself,Holistic healing,Dr. Nicole LePera,Mental health,Healing journey,Self Help",27,Education,"Health,Lifestyle_(sociology)",PT50S,50,2d,hd,false,,en,https://i.ytimg.com/vi/dcL8Rqz1IP8/maxresdefault.jpg,1,,,,33788,2678,,0,68
9,UCtEWTaMjqOH8J1Gy06Ey0Yg,"The Holistic Psychologist",1QeLLOWEl1o,2025-04-22T19:00:05Z,"2025-04-22 19:00:05","Therapy for anxious attachment","Join my private healing community. Enrollment opens May 1st. Click here to join the waitlist and secure your spot: https://selfhealerscircle.com/ Order my books: ""How To Be The Love You Seek"" https://howtobetheloveyouseek.com ""How to Meet Yourself"" https://howtomeetyourself.com ""How to Do the Work"" https://theholisticpsychologist.com/how-to-do-the-work/ Get my FREE Relationship Future Self Journal: https://theholisticpsychologist.com/relationship-future-self-journal/ Therapy for Anxious Attachment Complete transcript: The holistic psychologist: So what do you want in a relationship? Person: Someone who truly loves me and who I feel connected with. The holistic psychologist: And when you get that relationship, what will you do? Person: At first, I'll be on cloud nine. I love, love. Then I'll get this voice in my head that says they're gonna leave me or betray me in some way. So I'll start to smother them and then accuse them of things. I hate that it. But I have trust issues. The holistic psychologist: at least you're honest Person: Then they'll start to pull away because I'm accusing them of things and needing constant reassurance. And I'll see that as proof that they never loved me in the first place. The holistic psychologist: Exhausting Person: Yeah, growing up my mother was emotionally unpredictable. Sometimes she was really sweet and loving and other times she was completely cold and shutdown. I never knew what version of her I was gonna get. It's scary to feel loved and the next minute to feel like someone just can't stand your existence. The holistic psychologist: So your mom's emotional instability created a situation where you feel like people will abandon you in the same way she did or blindside you like she did with her changes in mood. Person: Exactly The holistic psychologist: What's one of your biggest triggers in relationships? Person: Anytime I feel like someone's ignoring me or I feel mood changes. I panic because every time someone's mood changes growing up, something really bad or scary happens. Sometimes I create chaos or drama just so I get the attention that I crave. The holistic psychologist: And what do you wish people knew? Person: I don't want to be like this, I wish I could be easy going and relaxed relationships. I wish I didn't always assume the worst and have this urge to smother the people I love. I wish I could be like other people who seem to find relationships easy, instead of all consuming. #therapy #holistichealth #holistichealing #attachmentstyles #anxiousattachment","Dr. Nicole,The SelfHealers Circle,How to be the love you seek,How to do the work,how to meet yourself,Holistic healing,Dr. Nicole LePera,Mental health,Healing journey,Self Help",27,Education,Health,PT1M22S,82,2d,hd,false,,en,https://i.ytimg.com/vi/1QeLLOWEl1o/maxresdefault.jpg,1,,,,72299,4897,,0,125
10,UCtEWTaMjqOH8J1Gy06Ey0Yg,"The Holistic Psychologist",hjImWL8U6dM,2025-04-20T19:00:28Z,"2025-04-20 19:00:28","The truth about self healing","Join my private healing community. Enrollment opens May 1st. Click here to join the waitlist and secure your spot: https://selfhealerscircle.com/ Order my books: ""How To Be The Love You Seek"" https://howtobetheloveyouseek.com ""How to Meet Yourself"" https://howtomeetyourself.com ""How to Do the Work"" https://theholisticpsychologist.com/how-to-do-the-work/ Get my FREE Relationship Future Self Journal: https://theholisticpsychologist.com/relationship-future-self-journal/ The truth about self healing Complete transcript: The Holistic Psychologist: Here is what some therapists won't tell you. Your life is fully on you. No one is coming to save you, and no one is coming to rescue you. So if you want a better life you really do have to work for it. Now is it fair that you have to break the cycle of intergenerational trauma? No, it's not fair. It's not fair that some of us are children in adult bodies, and we have to teach ourselves how to be a healthy adult. It's not fair that some of us didn't have emotionally healthy role models. I get it because I'm in the same boat. But if you really want to heal you need to accept reality. And when you accept reality, you finally have the opportunity to change it. And you can change it by putting yourself to bed early, and by starting to care about the food that you put into your body. By becoming aware of what your attachment style is. By learning how to regulate your emotions. And by pushing yourself to go out into the sun and nature. Even when you want to stay under the covers. We're not gonna get better until we do better. There's no magic fix and no magic pill. And you have so much more influence over how your life goes than you're probably aware of right now. So start talking to yourself seriously. Start taking care of your body, and start getting outside and watch how your life changes.","Dr. Nicole,The SelfHealers Circle,How to be the love you seek,How to do the work,how to meet yourself,Holistic healing,Dr. Nicole LePera,Mental health,Healing journey,Self Help",27,Education,Health,PT1M6S,66,2d,hd,false,,en,https://i.ytimg.com/vi/hjImWL8U6dM/maxresdefault.jpg,1,,,,93602,8354,,0,216
