position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCOaegTYfii7Gl9ytqZa8i_Q,"UC San Diego Health",IDkcowfZHzg,2025-05-15T19:55:03Z,"2025-05-15 19:55:03","Critical-Care Nurses Recognized for Excellent Patient Care, Outcomes","Critical care nurses at UC San Diego Health provide high-quality treatment and compassionate care in a healing environment. For patients, the treatment, education and support services that nurses provide in the hospital, especially in the ICU, can be deeply impactful and inspiring. Recently, a team in a progressive care unit at our Jacobs Medical Center was recognized by the American Association of Critical-Care Nurses (AACN) with the Beacon Award for Excellence in three areas: patient outcomes, work environment and nursing workforce. For nurses, this award demonstrates a positive and supportive work environment with greater collaboration and higher morale. Learn how patients benefit from an innovative, all-nurse care delivery model with clinical nurse leaders and licensed vocational nurses. Nursing at UC San Diego Health: https://health.ucsd.edu/nursing Critical Care at UC San Diego Health: https://health.ucsd.edu/care/critical-care/ 0:00 Introduction 0:21 Beacon Award signifies care and collaboration 0:44 Reducing risks for infection and injury 1:13 Encouraging professional growth and leadership","nurses,nursing,ucsd health,san diego nurses,critical care,ICU,beacon award,Jacobs medical center",27,Education,"Health,Knowledge",PT2M8S,128,2d,hd,true,,en-US,https://i.ytimg.com/vi/IDkcowfZHzg/maxresdefault.jpg,,,,,141,1,,0,
2,UCOaegTYfii7Gl9ytqZa8i_Q,"UC San Diego Health",W5B-XcKoN3s,2025-05-09T16:08:14Z,"2025-05-09 16:08:14","Passing the Phone: Nurses Celebrate Successes Across UC San Diego Health","Join us in honoring the incredible nurses of UC San Diego Health during Nurses Week. In this special video, our nurses follow the popular ""I'm passing the phone to someone who..."" trend to showcase the diverse talents, dedication, and compassion of their colleagues. From those who excel in patient care to those who inspire their others, each nurse plays a vital role in leading the way in patient care. Watch as they pass the phone and share heartfelt messages, highlighting what makes each of them extraordinary. UC San Diego Health is a Magnet-accredited hospital system offering a nationally acclaimed team of nurses who deeply care for our patients and their loved ones. https://health.ucsd.edu/for-health-care-professionals/nursing/","Nurses,Nurses Week,UC San Diego Health,Nursing",27,Education,Health,PT2M50S,170,2d,hd,false,,en-US,https://i.ytimg.com/vi/W5B-XcKoN3s/maxresdefault.jpg,,"San Diego",32.715738,-117.1610838,598,5,,0,
3,UCOaegTYfii7Gl9ytqZa8i_Q,"UC San Diego Health",cefH3tk-c3E,2025-05-02T16:15:43Z,"2025-05-02 16:15:43","Focus on Health: TMS Therapy with Cory Weissman, MD, PhD","Struggling with depression? There’s hope. At UC San Diego Health, we’re advancing the science of mental health. In this episode of ""Focus on Health,"" Cory Weisman, MD, PhD and a psychiatrist at UC San Diego Health, explains how transcranial magnetic stimulation (TMS) offers new hope for individuals whose depression hasn’t responded to traditional treatments. As one of the region’s most advanced TMS clinics, we combine science with compassionate, personalized care because treating depression means caring for the whole person. More about TMS therapy at UC San Diego Health: https://health.ucsd.edu/care/behavioral-mental-health/depression-treatment/tms/ This video is part of our monthly ""Focus on Health"" series featuring UC San Diego experts discussing health topics relevant to our community. See more videos in this series: https://www.youtube.com/playlist?list=PLp5o_4MxOoYQp05t-pJc8AVrmJGB8MXQH Cory R. Weissman, MD, PhD, is a board-certified psychiatrist who focuses on providing care for patients with treatment-resistant mental illness. More about Dr. Weissman: https://providers.ucsd.edu/details/1528720661/psychiatry","UCSD,UC San Diego Health,TMS,Depression Treatment,Mental Health,Treatment-Resistant Depression,Transcranial Magnetic Stimulation",27,Education,"Health,Knowledge",PT1M1S,61,2d,hd,true,,en-US,https://i.ytimg.com/vi/cefH3tk-c3E/maxresdefault.jpg,,,,,398,4,,0,
4,UCOaegTYfii7Gl9ytqZa8i_Q,"UC San Diego Health",Wkdt8yD_EDs,2025-04-02T18:50:39Z,"2025-04-02 18:50:39","Focus on Health: Voice & Swallowing Care with Philip Weissbrod, MD","Otolaryngologist Philip Weissbrod, MD, explains how the Center of Excellence for Airway, Voice and Swallowing at UC San Diego Health goes the extra mile for patients. The center brings together specialists to help patients regain function through comprehensive evaluations, innovative therapies, and surgery when needed — all under one roof. More about Voice and Swallowing Care at UC San Diego Health: https://health.ucsd.edu/care/ent/voice-swallowing-disorders/ This video is part of our monthly ""Focus on Health"" series featuring UC San Diego experts discussing health topics relevant to our community. See more videos in this series: https://www.youtube.com/playlist?list=PLp5o_4MxOoYQp05t-pJc8AVrmJGB8MXQH Philip Weissbrod, MD, is a board-certified otolaryngologist and director of the Center for Airway Voice and Swallowing. He uses the latest surgical, medicinal, and behavioral therapies to treat voice, airway, and swallowing conditions to help restore and optimize patients' ability to eat, breathe and talk. More about Dr. Weissbrod: https://providers.ucsd.edu/details/11506/ent-head-and-neck-(otolaryngology)-surgery","Dr. Weissbrod UCSD,Voice and Swallowing Care UC San Diego Health,ENT doctors San Diego,Swallowing disorders San Diego,Laryngeal problems San Diego",27,Education,Health,PT1M1S,61,2d,hd,true,,en-US,https://i.ytimg.com/vi/Wkdt8yD_EDs/maxresdefault.jpg,,,,,457,0,,0,
5,UCOaegTYfii7Gl9ytqZa8i_Q,"UC San Diego Health",IcgjAkb8l-o,2025-03-26T16:23:46Z,"2025-03-26 16:23:46","Men’s Reproductive & Sexual Health with Dr. T. Mike Hsieh, Urologist","UC San Diego Health offers the most comprehensive spectrum of health care for adult men of any age. We prioritize your sexual and reproductive health, which is integral to your physical and emotional well-being. Our experts at the Men's Health Center, like T. Mike Hsieh, MD, urologist, offer the latest treatment options and will personalize a plan for your unique situation. We can accurately diagnose and successfully treat the full spectrum of men's sexual health conditions, including male infertility, Peyronie's disease, erectile dysfunction, low libido, enlarged prostate and or trouble with urination. Men's Reproductive & Sexual Health at UC San Diego Health: https://health.ucsd.edu/care/urology/male-reproductive-sexual-health Urologic Care at UC San Diego Health: https://health.ucsd.edu/care/urology/ This video is part of our monthly ""Focus on Health"" series featuring UC San Diego experts discussing health topics relevant to our community. See more videos in this series: https://www.youtube.com/playlist?list=PLp5o_4MxOoYQp05t-pJc8AVrmJGB8MXQH T. Mike Hsieh, MD, is a board-certified urologist who is the director of the Men's Health Center at UC San Diego Health. He specializes in male fertility and men's health. More about Dr. Hsieh: https://providers.ucsd.edu/details/12156/urology-infertility-surgery 0:00 Introduction 0:07 Meet Dr. Mike Hsieh, Urologist 0:24 Latest Treatments for Sexual Health Issues 0:44 Men’s Health Center Can Help You","men's health,urologic problems,sexual health issues,male infertility,low sex drive,erectile dysfunction,trouble with urination,have kids after cancer treatment,ucsd health,dr. hsieh,hseih",27,Education,"Health,Knowledge",PT1M1S,61,2d,hd,true,,en-US,https://i.ytimg.com/vi/IcgjAkb8l-o/maxresdefault.jpg,,,,,973,4,,0,
6,UCOaegTYfii7Gl9ytqZa8i_Q,"UC San Diego Health",DoAIe5qogmg,2025-03-25T23:42:13Z,"2025-03-25 23:42:13","Day in the Life of a Registered Dietician","What is a day like for a registered dietician? Mallory Callaway, MS, RD, walks us through her routine as a registered dietician for the Step Family Foundation Cardiac Rehab and Wellness Center at UC San Diego Health. Nutrition plays a vital role in heart health, and our dietitians are here to help every step of the way. In our cardiac rehab center dieticians provide nutrition counseling, teach cooking classes, educate patients on heart-healthy choices and provide the support needed for a stronger, healthier future. The Step Family Cardiac Rehabilitation and Wellness Center provides a medically supervised program designed to improve cardiovascular health through exercise, lifestyle changes and stress reduction. https://health.ucsd.edu/care/heart-vascular/cardiac-rehabilitation If you are interested in joining a team that provides world-class care, visit employment.ucsd.edu","Day in the Life,Day in the Life of a dietician,UCSD Health,UCSD employees,UC San Diego Health,UCSD jobs,UCSD Health jobs,UC San Diego Health jobs,What does a dietician do?,Dietician duties,dietician job,San Diego jobs,registered dietician,what does a RD do?,Day in the life as a RD,RD",27,Education,"Health,Knowledge",PT3M,180,2d,hd,false,,en-US,https://i.ytimg.com/vi/DoAIe5qogmg/maxresdefault.jpg,,,,,364,7,,0,
7,UCOaegTYfii7Gl9ytqZa8i_Q,"UC San Diego Health",UFODMxyCJkQ,2025-03-25T19:28:33Z,"2025-03-25 19:28:33","Meet Benjamin Massenburg, MD: Plastic and Craniofacial Surgeon","Benjamin Massenburg, MD, is a plastic surgeon who specializes in craniofacial surgery (face, jaw, and skull), including functional and aesthetic nose surgery (rhinoplasty), comprehensive care for cleft lip and palate, facial reconstruction after trauma or cancer, facial feminization, and facial aesthetic surgery. He likes to connect with patients to understand their goals for surgery and make them feel their best. Dr. Massenburg spent a year in medical school as a Paul Farmer Global Surgery Research Associate, splitting the year between Brazil and India. This experience gave him a diverse view of the possibilities plastic surgery can provide for patients. More about Dr. Massenburg: https://providers.ucsd.edu/details/1497280028/plastic-surgery-surgery More about Plastic and Reconstructive Surgery at UC San Diego Health: https://health.ucsd.edu/care/plastic-reconstructive-surgery/ 00:00 Meet Benjamin Massenburg, MD 00:22 Procedures He Provides 00:42 Helping Patients Feel Their Best 01:05: Global Health Experience 01:24 Why He Specializes in Plastic Surgery","Best Plastic Surgeons San Diego,Craniofacial Plastic Surgery,Craniofaical Reconstructive Surgery,Reconstructive Surgery After Skin Cancer,UCSD Plastic Surgeons,Dr. Massenburg San Diego",27,Education,"Health,Knowledge",PT1M49S,109,2d,hd,true,,en-US,https://i.ytimg.com/vi/UFODMxyCJkQ/maxresdefault.jpg,,,,,176,3,,0,
8,UCOaegTYfii7Gl9ytqZa8i_Q,"UC San Diego Health",QrMx-mEaf4Q,2025-03-07T18:52:11Z,"2025-03-07 18:52:11","Benefits of Reading to Your Baby","In celebration of National Read Across America Week, parents and medical staff at UC San Diego Health read to our tiniest patients in the neonatal intensive care unit (NICU) at Jacobs Medical Center in La Jolla. The NICU’s “Wee Reads” program highlights the importance of reading to infants based on the well-studied therapeutic practice. This year, each baby was gifted a new book by neonatal registered nurse, Connie Rodenhiser, RN. The benefit of human connection takes place when a baby hears their parent’s voice, which helps promote brain development and improve parent/baby bonding. By modeling interactive reading, parents can establish this practice with their infants to continue the cumulative benefits of reading years after NICU discharge.⁠ The NICU at Jacobs Medical Center is a Level III, nationally recognized center of excellence, providing the highest level of care available for premature or sick newborns. UC San Diego Health is the only medical center in San Diego to have both a regional NICU and a labor and delivery service in the same facility. Learn more: health.ucsd.edu/care/pregnancy-birth/nicu/","Reading,benefits of reading,why read to your child?,Why read to your baby?,reading week,love reading,Ucsd,ucsdhealth,uc San Diego,benefits of reading to your baby,benefits of reading to your child,nicu babies,nicu",27,Education,"Health,Lifestyle_(sociology)",PT55S,55,2d,hd,false,,en-US,https://i.ytimg.com/vi/QrMx-mEaf4Q/maxresdefault.jpg,,,,,580,7,,0,
9,UCOaegTYfii7Gl9ytqZa8i_Q,"UC San Diego Health",B4667Hn1y-A,2025-02-26T22:03:22Z,"2025-02-26 22:03:22","Heart-Healthy Tomato Soup Recipe","Warm up with a heart-healthy soup! ❤️🥣 Watch as Mallory Callaway, registered dietitian at UC San Diego Health, shows us how to assemble this delicious tomato soup recipe packed with nutrient-rich ingredients to support your heart health. Ingredient list: 1 teaspoon olive oil 1 cup diced onion 1 cup diced fennel bulb 2 tablespoons minced garlic 1 tablespoon seasoning mix (granulated garlic & onion, no-salt lemon pepper and paprika) 1 cup no-salt-added tomato sauce 2 cups no-salt-added vegetable broth 1 bay leaf 1/2 cup basil leaves, thinly sliced Try it out and nourish your body with every bite. Bonus—it is vegan and gluten free, too! If you have heart disease or have experienced a cardiac event or surgery, the cardiac rehabilitation and wellness program can help you change your lifestyle and provide you with the tools to stay on your new path. It's part of UC San Diego Health's comprehensive heart care services. UC San Diego Health has the only wellness kitchen in the region. As a part of our Pritikin Intensive cardiac rehabilitation program patients have access to engaging workshops and cooking classes that will teach them how to implement lifestyle changes to improve heart health, shop for and cook heart-healthy meals, lose weight using healthy scientific strategies and make heart-healthy choices when dining out. health.ucsd.edu/care/heart-vascular/cardiac-rehabilitation/","tomato soup,healthy soup,vegetarian soup,vegas soup,gluten free soup,ucsd,ucsd health,uc San Diego,dietitican approved recipe,dietician recommended heart recipe,uc san diego health,soup,soup recipe,heart care san diego,how to make soup,soup recipes,heart-healthy,low sodium soup,low salt recipes,low sodium recipes,low salt soup,cardiovascular food,doctor approved soup",27,Education,"Food,Lifestyle_(sociology)",PT1M41S,101,2d,hd,false,,en-US,https://i.ytimg.com/vi/B4667Hn1y-A/maxresdefault.jpg,,,,,287,2,,0,
10,UCOaegTYfii7Gl9ytqZa8i_Q,"UC San Diego Health",aOUkELyD5S8,2025-02-26T01:28:40Z,"2025-02-26 01:28:40","Conozca a Benjamín Cruz Rodríguez, MD - Cardiólogo","El Dr. Benjamín Cruz Rodríguez es un cardiólogo certificado que trata a pacientes con insuficiencia cardíaca avanzada, incluidos aquellos que necesitan asistencia circulatoria mecánica o transplante de corazón. Trata miocardiopatías (enfermedades que afectan el músculo cardíaco). El Dr. Cruz busca comprender al paciente en su totalidad y está interesado en la epidemiología de la insuficiencia cardíaca y en encontrar disparidades raciales y étnicas en el acceso a la atención. Como proveedor hispano, puede brindar atención en español a los pacientes que más la necesitan. Además de su práctica en los hospitales de UC San Diego Health, ejerce en clínicas y hospitales afiliados en El Centro y Brawley. Más información sobre el Dr. Cruz: https://providers.ucsd.edu/details/1457770240/cardiology-transplantation Más información sobre la atención cardíaca en UC San Diego Health: https://health.ucsd.edu/care/heart-vascular 00:00 Conozca al Dr. Benjamín Cruz Rodríguez 00:10 Enfermedades tratadas 00:38 Enfoque de atención al paciente 00:58 UC San Diego Health y nuestro equipo de cardiología 01:24 Acceso y trabajo con las comunidades hispanas",,27,Education,Health,PT2M6S,126,2d,hd,true,,en-US,https://i.ytimg.com/vi/aOUkELyD5S8/maxresdefault.jpg,,,,,162,0,,0,
