position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",WX6mcbC47Hg,2025-05-01T17:42:48Z,"2025-05-01 17:42:48","The Power of Nurses: Celebrating Nurses Month 2025","Join us in celebrating Nurses Month 2025 and honoring the power, compassion, and expertise of the more than 6,500 nurses at UCLA Health. This year’s theme, “The Power of Nurses,” comes to life every day across our hospitals and clinics—from life-saving interventions and leading-edge practices to emotional support during life’s most vulnerable moments.",,28,"Science & Technology","Health,Knowledge",PT2M17S,137,2d,hd,false,,en-US,https://i.ytimg.com/vi/WX6mcbC47Hg/maxresdefault.jpg,,,,,1331,17,,0,
2,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",NY7aWBnsyN0,2025-05-01T00:32:26Z,"2025-05-01 00:32:26","Integrative Medicine 101 with Dr. Elizabeth Ko: Connecting Mind, Body and Soul","What exactly is integrative medicine—and how does it differ from traditional or Eastern approaches? In this episode of Medically Speaking, Dr. Eve Glazier sits down with Dr. Elizabeth Ko, Medical Director of the UCLA Health Integrative Medicine Collaborative, for an insightful conversation about how integrative care supports whole-person wellness. From mind-body techniques to everyday habits that boost well-being, Dr. Glazier and Dr. Ko break down practical ways to incorporate these approaches into your daily life. 🎧 Tune in to discover expert advice for living healthier—inside and out.",,28,"Science & Technology","Health,Society",PT35M12S,2112,2d,hd,false,,en-US,,,,,,297,13,,0,
3,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",p4txeCWsFOc,2025-04-18T00:04:05Z,"2025-04-18 00:04:05","Luca Valle",,,28,"Science & Technology",Health,PT35S,35,2d,hd,false,,en-US,https://i.ytimg.com/vi/p4txeCWsFOc/maxresdefault.jpg,,,,,153,4,,0,
4,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",P8R1raUL_0Y,2025-04-18T00:02:54Z,"2025-04-18 00:02:54","Nicholas Nickols",,,28,"Science & Technology","Health,Knowledge",PT12S,12,2d,hd,false,,en-US,https://i.ytimg.com/vi/P8R1raUL_0Y/maxresdefault.jpg,,,,,126,0,,0,
5,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",WyWz0TzdRj0,2025-04-18T00:02:11Z,"2025-04-18 00:02:11","Tania Kaprealian",,,28,"Science & Technology",,PT13S,13,2d,hd,false,,en-US,https://i.ytimg.com/vi/WyWz0TzdRj0/maxresdefault.jpg,,,,,176,0,,0,
6,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",vsY1Qs34ki8,2025-04-18T00:01:11Z,"2025-04-18 00:01:11","Robert Chin",,,28,"Science & Technology",Health,PT24S,24,2d,hd,false,,en-US,https://i.ytimg.com/vi/vsY1Qs34ki8/maxresdefault.jpg,,,,,181,4,,0,
7,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",UkiSjEEgPEc,2025-04-18T00:00:11Z,"2025-04-18 00:00:11","Improving outcomes in obstructive sleep apnea surgery | UCLA Health","In this webinar, UCLA Health sleep medicine experts dive into improving outcomes in obstructive sleep apnea (OSA) surgery. They highlight the latest advancements and research that can guide better treatment options for patients. Key points covered in this video include: • Understanding the mechanisms of OSA and its impact on health • Surgical evaluation for OSA and the role of neurostimulation • DISE (Drug-Induced Sleep Endoscopy) findings and their influence on surgical outcomes • The latest on Inspire Upper Airway Stimulation and its long-term results • Endotypic traits and how they affect treatment responses We also explore recent findings on how palate shape and airway obstruction sites can influence the success of surgery, as well as the effectiveness of advanced therapies like Inspire for those who need more than traditional CPAP therapy. Want to learn more? Visit our website for more information on OSA treatment options: uclahealth.org/departments/head-neck-surgery/clinical-services/sleep-surgery #SleepApnea #OSA #SleepSurgery #Neurostimulation #InspireTherapy #UCLAHealth","SleepApnea,OSA,SleepSurgery,Neurostimulation,InspireTherapy,UCLAHealth",28,"Science & Technology","Health,Knowledge",PT39M39S,2379,2d,hd,false,,en-US,https://i.ytimg.com/vi/UkiSjEEgPEc/maxresdefault.jpg,,,,,274,7,,0,
8,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",6vmZIGFylL4,2025-04-17T23:59:23Z,"2025-04-17 23:59:23","Surgical evaluation and treatment of obstructive sleep apnea | UCLA Health","This webinar covers essential insights into the surgical evaluation and treatment of obstructive sleep apnea (OSA), including how anatomic evaluations, DISE findings and surgical options can lead to better patient outcomes. With the goal of improving AHI and patient symptoms, this presentation emphasizes the value of a thorough anatomic evaluation to guide treatment decisions. The webinar also highlights the importance of personalized approaches, including how surgical outcomes can be enhanced based on individual anatomic traits. For more information on OSA treatment options, visit: uclahealth.org/departments/head-neck-surgery/clinical-services/sleep-surgery #SleepApnea #OSA #SleepSurgery #UpperAirwayStimulation #DISE #SleepHealth #UCLAHealth","SleepApnea,OSA,SleepSurgery,UpperAirwayStimulation,DISE,SleepHealth,UCLAHealth",28,"Science & Technology","Health,Knowledge",PT41M26S,2486,2d,hd,false,,en-US,https://i.ytimg.com/vi/6vmZIGFylL4/maxresdefault.jpg,,,,,277,9,,0,
9,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",vtuNc2hoGDA,2025-04-15T21:30:38Z,"2025-04-15 21:30:38","Journey to Lead Physician: My Career Growth at UCLA Health","In this interview, Dr. Anu S., an Ambulatory MD at UCLA, shares how her career has grown. She began by providing temporary coverage in a primary care office, then transitioned to working in urgent care—and through dedication and opportunity, she is now the lead physician at the Century City location. Her story highlights how passion and persistence can turn short-term roles into long-term leadership. #HealthcareJourney #AmbulatoryCareers #UCLAHealthCareers",,28,"Science & Technology","Health,Knowledge",PT44S,44,2d,hd,false,,en-US,https://i.ytimg.com/vi/vtuNc2hoGDA/maxresdefault.jpg,,,,,107,0,,0,
10,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",YLI9QOXbYNE,2025-04-15T21:28:41Z,"2025-04-15 21:28:41","Journey to Lead Physician: Career Growth at UCLA Health #shorts","In this interview, Dr. Anu S., an Ambulatory MD at UCLA, shares how her career has grown. She began by providing temporary coverage in a primary care office, then transitioned to working in urgent care, and through dedication and opportunity, she is now the lead physician. Her story highlights how passion and persistence can turn short-term roles into long-term leadership. #HealthcareJourney #AmbulatoryCareers #UCLAHealthCareers",,28,"Science & Technology",Health,PT44S,44,2d,hd,false,,en-US,https://i.ytimg.com/vi/YLI9QOXbYNE/maxresdefault.jpg,,,,,325,6,,0,
